accBasedController [2021-03-27-21-56-05]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.924052  0.005  -0.010  0.015  -0.232  0.000  0.000
0.927053  0.005  -0.010  0.015  -0.232  0.000  0.000
0.930053  0.005  -0.010  -0.007  0.112  0.000  0.000
0.933053  0.005  -0.010  -0.007  0.112  0.000  0.000
0.936053  0.005  -0.009  0.071  0.096  0.000  0.000
0.939053  0.005  -0.009  0.071  0.096  0.000  0.000
0.942053  0.005  -0.009  0.071  0.096  0.000  0.000
0.945054  0.006  -0.009  0.118  -0.028  0.000  0.000
0.948054  0.006  -0.009  0.118  -0.028  0.000  0.000
0.951054  0.008  -0.009  0.201  -0.035  0.000  0.000
0.954054  0.008  -0.009  0.201  -0.035  0.000  0.000
0.958054  0.005  -0.008  -0.314  0.208  0.000  0.000
0.961055  0.005  -0.008  -0.314  0.208  0.000  0.000
0.964055  0.005  -0.008  -0.314  0.208  0.000  0.000
0.967055  0.005  -0.007  -0.069  0.046  0.000  0.000
0.970055  0.005  -0.007  -0.069  0.046  0.000  0.000
0.973055  0.005  -0.007  -0.015  0.010  0.000  0.000
0.977055  0.005  -0.007  -0.015  0.010  0.000  0.000
0.981056  0.005  -0.007  -0.003  0.002  0.000  0.000
0.984056  0.005  -0.007  -0.003  0.002  0.000  0.000
0.987056  0.005  -0.007  -0.003  0.002  0.000  0.000
0.991056  0.005  -0.007  -0.001  0.000  0.000  0.000
1.010057  0.005  -0.007  -0.001  0.000  0.000  0.000
1.030058  0.004  -0.009  -0.028  -0.246  0.000  0.000
1.034059  0.004  -0.009  -0.028  -0.246  0.000  0.000
1.037059  0.004  -0.009  -0.019  0.058  0.000  0.000
1.040059  0.004  -0.009  -0.019  0.058  0.000  0.000
1.043059  0.004  -0.009  -0.019  0.058  0.000  0.000
1.046059  0.004  -0.008  -0.038  0.038  0.000  0.000
1.049060  0.004  -0.008  -0.038  0.038  0.000  0.000
1.052060  0.003  -0.007  -0.172  0.181  0.000  0.000
1.055060  0.003  -0.007  -0.172  0.181  0.000  0.000
1.058060  0.004  -0.006  0.121  0.129  0.000  0.000
1.061060  0.004  -0.006  0.121  0.129  0.000  0.000
1.064060  0.004  -0.006  0.121  0.129  0.000  0.000
1.067061  0.004  -0.008  0.069  -0.302  0.000  0.000
1.070061  0.004  -0.008  0.069  -0.302  0.000  0.000
1.073061  0.005  -0.008  0.145  -0.004  0.000  0.000
1.076061  0.005  -0.008  0.145  -0.004  0.000  0.000
1.079061  0.006  -0.008  0.130  0.006  0.000  0.000
1.082061  0.006  -0.008  0.130  0.006  0.000  0.000
1.085062  0.006  -0.008  0.130  0.006  0.000  0.000
1.088062  0.004  -0.008  -0.239  0.069  0.000  0.000
1.091062  0.004  -0.008  -0.239  0.069  0.000  0.000
1.094062  0.005  -0.008  0.108  -0.048  0.000  0.000
1.097062  0.005  -0.008  0.108  -0.048  0.000  0.000
1.100062  0.006  -0.006  0.068  0.236  0.000  0.000
1.103063  0.006  -0.006  0.068  0.236  0.000  0.000
1.106063  0.006  -0.006  0.068  0.236  0.000  0.000
1.109063  0.007  -0.007  0.176  -0.041  0.000  0.000
1.112063  0.007  -0.007  0.176  -0.041  0.000  0.000
1.115063  0.005  -0.005  -0.219  0.187  0.000  0.000
1.118064  0.005  -0.005  -0.219  0.187  0.000  0.000
1.121064  0.006  -0.004  0.051  0.084  0.000  0.000
1.124064  0.006  -0.004  0.051  0.084  0.000  0.000
1.127064  0.006  -0.004  0.051  0.084  0.000  0.000
1.130064  0.008  -0.004  0.275  0.056  0.000  0.000
1.133064  0.008  -0.004  0.275  0.056  0.000  0.000
1.136065  0.011  -0.006  0.316  -0.214  0.000  0.000
1.139065  0.011  -0.006  0.316  -0.214  0.000  0.000
1.142065  0.010  -0.006  -0.122  -0.080  0.000  0.000
1.145065  0.010  -0.006  -0.122  -0.080  0.000  0.000
1.148065  0.010  -0.006  -0.122  -0.080  0.000  0.000
1.151065  0.006  -0.006  -0.496  0.032  0.000  0.000
1.154066  0.006  -0.006  -0.496  0.032  0.000  0.000
1.158066  0.005  -0.006  -0.129  -0.009  0.000  0.000
1.161066  0.005  -0.006  -0.129  -0.009  0.000  0.000
1.164066  0.004  -0.007  -0.051  -0.052  0.000  0.000
1.168066  0.004  -0.007  -0.051  -0.052  0.000  0.000
1.171067  0.004  -0.007  -0.051  -0.052  0.000  0.000
1.174067  0.003  -0.007  -0.159  -0.042  0.000  0.000
1.178067  0.003  -0.007  -0.159  -0.042  0.000  0.000
1.182067  0.003  -0.008  0.014  -0.132  0.000  0.000
1.185067  0.003  -0.008  0.014  -0.132  0.000  0.000
1.189068  0.003  -0.008  0.003  -0.029  0.000  0.000
1.218069  0.003  -0.008  0.003  -0.029  0.000  0.000
1.225070  0.003  -0.008  0.003  -0.029  0.000  0.000
1.236070  0.003  -0.008  0.001  -0.006  0.000  0.000
1.241071  0.003  -0.008  0.001  -0.006  0.000  0.000
1.249071  0.003  -0.008  0.000  -0.001  0.000  0.000
1.260072  0.003  -0.008  0.000  -0.001  0.000  0.003
1.266072  0.003  -0.008  0.000  -0.000  0.000  0.003
1.270072  0.003  -0.008  0.000  -0.000  0.000  0.003
1.273072  0.003  -0.008  0.000  -0.000  0.000  0.003
1.277073  0.004  -0.010  0.064  -0.257  0.000  0.003
1.282073  0.004  -0.010  0.064  -0.257  0.000  0.003
1.286073  0.004  -0.011  0.102  -0.071  0.000  0.003
1.292073  0.004  -0.011  0.102  -0.071  0.000  0.003
1.305074  0.002  -0.011  -0.319  -0.062  0.000  0.003
1.314075  0.002  -0.011  -0.319  -0.062  0.000  0.003
1.323075  0.002  -0.011  -0.319  -0.062  0.000  0.003
1.327075  0.001  -0.013  -0.157  -0.210  0.000  0.003
1.332076  0.001  -0.013  -0.157  -0.210  0.000  0.003
1.336076  0.002  -0.011  0.240  0.266  0.000  0.003
1.340076  0.002  -0.011  0.240  0.266  0.000  0.003
1.344076  0.002  -0.010  -0.074  0.098  0.000  0.003
1.348077  0.002  -0.010  -0.074  0.098  0.000  0.003
1.351077  0.002  -0.010  -0.074  0.098  0.000  0.003
1.355077  0.003  -0.009  0.169  0.126  0.000  0.003
1.358077  0.003  -0.009  0.169  0.126  0.000  0.003
1.361077  0.004  -0.010  0.083  -0.162  0.000  0.003
1.364078  0.004  -0.010  0.083  -0.162  0.000  0.003
1.367078  0.005  -0.010  0.174  0.024  0.000  0.003
1.370078  0.005  -0.010  0.174  0.024  0.000  0.003
1.373078  0.005  -0.010  0.174  0.024  0.000  0.003
1.376078  0.003  -0.009  -0.263  0.148  0.000  0.003
1.379078  0.003  -0.009  -0.263  0.148  0.000  0.003
1.382079  0.003  -0.009  0.014  -0.041  0.000  0.003
1.385079  0.003  -0.009  0.014  -0.041  0.000  0.003
1.389079  0.004  -0.009  0.121  0.067  0.000  0.003
1.392079  0.004  -0.009  0.121  0.067  0.000  0.003
1.395079  0.004  -0.009  0.121  0.067  0.000  0.003
1.399080  0.005  -0.008  0.139  0.086  0.000  0.003
1.402080  0.005  -0.008  0.139  0.086  0.000  0.003
1.405080  0.007  -0.010  0.143  -0.181  0.000  0.003
1.408080  0.007  -0.010  0.143  -0.181  0.000  0.003
1.411080  0.006  -0.009  -0.014  0.043  0.000  0.003
1.414080  0.006  -0.009  -0.014  0.043  0.000  0.003
1.417081  0.006  -0.009  -0.014  0.043  0.000  0.003
1.420081  0.005  -0.007  -0.143  0.238  0.000  0.003
1.424081  0.005  -0.007  -0.143  0.238  0.000  0.003
1.427081  0.005  -0.007  -0.095  0.099  0.000  0.003
1.430081  0.005  -0.007  -0.095  0.099  0.000  0.003
1.433082  0.004  -0.006  -0.099  0.098  0.000  0.003
1.436082  0.004  -0.006  -0.099  0.098  0.000  0.003
1.439082  0.004  -0.006  -0.099  0.098  0.000  0.003
1.442082  0.005  -0.007  0.146  -0.137  0.000  0.003
1.475084  0.005  -0.007  0.146  -0.137  0.000  0.003
1.478084  0.007  -0.007  0.305  -0.021  0.000  0.003
1.481084  0.007  -0.007  0.305  -0.021  0.000  0.003
1.485085  0.008  -0.004  0.059  0.346  0.000  0.003
1.488085  0.008  -0.004  0.059  0.346  0.000  0.003
1.491085  0.008  -0.004  0.059  0.346  0.000  0.003
1.494085  0.008  -0.004  0.013  0.077  0.000  0.003
