SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-67.398    -26   0.176  0.000  -0.319  -7.222  -1.450  0.164  0.089  0.000
-52.957    -26   0.176  0.000  -0.319  -0.071  -0.132  -0.012  0.088  -0.000
-27.849    -26   0.176  0.000  -0.319  6.034  1.134  -0.000  0.097  -0.000
8.069    -12   0.176  0.000  -0.319  13.771  2.117  -0.630  0.114  -0.005
37.356     -3   0.176  0.000  -0.319  13.776  2.650  -0.040  0.135  -0.005
96.302     -3   0.176  0.000  -0.319  29.855  5.873  -0.097  0.182  -0.006
319.496     -5   0.176  0.000  -0.319  109.383  21.970  -0.289  0.358  -0.009
581.569     13   0.176  0.000  -0.319  146.747  29.903  0.207  0.597  -0.007
529.627    -21   0.176  0.000  -0.319  29.012  5.364  0.130  0.640  -0.006
364.801    -21   0.176  0.000  -0.319  -26.824  -5.917  0.382  0.593  -0.003
136.591    -26   0.176  0.000  -0.319  -70.030  -15.160  -0.070  0.472  -0.003
-62.861    -25   0.176  0.000  -0.319  -77.913  -16.411  0.167  0.340  -0.002
-159.799    -27   0.176  0.000  -0.319  -49.506  -10.778  -0.213  0.254  -0.004
-185.220    -27   0.176  0.000  -0.319  -25.833  -5.946  -0.352  0.207  -0.007
-211.852    -29   0.176  0.000  -0.319  -28.889  -6.142  0.048  0.158  -0.006
-274.884     -5   0.176  0.000  -0.319  -47.904  -9.799  0.249  0.079  -0.004
-296.643     -5   0.176  0.000  -0.319  -35.194  -7.037  0.308  0.023  -0.002
-337.096     -4   0.176  0.000  -0.319  -45.279  -9.486  -0.165  -0.053  -0.003
-443.404     -4   0.176  0.000  -0.319  -78.931  -15.896  0.272  -0.180  -0.001
44.399     -4   0.176  0.000  -0.319  179.562  36.670  -0.452  0.113  -0.004
-130.519     25   0.176  0.000  -0.319  -74.709  -15.754  -0.284  -0.013  -0.007
-357.333     25   0.176  0.000  -0.319  -114.142  -23.331  0.114  -0.200  -0.006
-626.673     25   0.176  0.000  -0.319  -153.909  -31.231  0.162  -0.449  -0.005
-814.549     25   0.176  0.000  -0.319  -141.688  -28.396  0.189  -0.677  -0.003
-889.567     24   0.176  0.000  -0.319  -108.039  -21.121  0.285  -0.846  -0.001
-821.077     25   0.176  0.000  -0.319  -50.273  -9.112  0.221  -0.918  0.001
-675.224     25   0.176  0.000  -0.319  -8.892  -0.975  -0.256  -0.926  -0.001
-516.320     25   0.176  0.000  -0.319  10.187  3.064  -0.136  -0.902  -0.002
-360.923     25   0.176  0.000  -0.319  22.856  5.825  0.063  -0.855  -0.002
-128.773     25   0.176  0.000  -0.319  71.470  15.732  0.038  -0.729  -0.001
76.847     25   0.176  0.000  -0.319  80.615  17.349  -0.080  -0.590  -0.002
253.991     25   0.176  0.000  -0.319  87.024  17.906  -0.707  -0.447  -0.008
363.249     25   0.176  0.000  -0.319  72.284  15.230  -0.149  -0.325  -0.009
456.057     25   0.176  0.000  -0.319  74.360  15.978  0.345  -0.198  -0.006
537.686      8   0.176  0.000  -0.319  77.881  16.226  0.001  -0.068  -0.006
660.706     -1   0.176  0.000  -0.319  103.533  21.711  0.392  0.106  -0.003
832.184     -3   0.176  0.000  -0.319  136.618  27.982  0.051  0.330  -0.002
995.833     -3   0.176  0.000  -0.319  148.333  30.366  0.309  0.573  0.000
1027.241    -16   0.176  0.000  -0.319  103.804  20.565  -0.081  0.737  -0.001
959.599    -25   0.176  0.000  -0.319  62.195  11.704  -0.205  0.831  -0.002
708.081    -27   0.176  0.000  -0.319  -26.823  -6.503  -0.003  0.779  -0.002
318.849    -27   0.176  0.000  -0.319  -111.658  -23.799  0.069  0.588  -0.002
23.565    -25   0.176  0.000  -0.319  -104.243  -22.394  -0.295  0.409  -0.004
-149.860    -27   0.176  0.000  -0.319  -76.062  -16.265  -0.157  0.279  -0.005
-229.113    -28   0.176  0.000  -0.319  -49.481  -10.435  0.071  0.196  -0.005
-258.966     -4   0.176  0.000  -0.319  -34.738  -7.006  0.389  0.140  -0.002
-242.267     -3   0.176  0.000  -0.319  -16.105  -3.663  -0.197  0.110  -0.003
-225.108     -1   0.176  0.000  -0.319  -14.482  -3.107  0.003  0.085  -0.003
-233.318     -1   0.176  0.000  -0.319  -24.480  -5.007  0.134  0.045  -0.002
-203.701     15   0.176  0.000  -0.319  -8.508  -1.423  0.403  0.034  0.001
-159.132     23   0.176  0.000  -0.319  1.096  0.184  -0.002  0.036  0.001
-121.449     23   0.176  0.000  -0.319  2.326  0.137  -0.317  0.037  -0.001
