vel_hum: -0.0041, vel_exo: 0.0109, acc_hum: -0.0351, acc_exo: -0.0159, tht_c: 0.0000, tht_l: 0.0057
vel_hum: -0.0037, vel_exo: 0.0105, acc_hum: 0.0376, acc_exo: -0.0404, tht_c: 0.0000, tht_l: 0.0074
vel_hum: -0.0037, vel_exo: 0.0105, acc_hum: 0.0376, acc_exo: -0.0404, tht_c: 0.0000, tht_l: 0.0074
vel_hum: -0.0030, vel_exo: 0.0107, acc_hum: 0.0714, acc_exo: 0.0212, tht_c: 0.0000, tht_l: 0.0068
vel_hum: -0.0030, vel_exo: 0.0107, acc_hum: 0.0714, acc_exo: 0.0212, tht_c: 0.0000, tht_l: 0.0068
vel_hum: -0.0030, vel_exo: 0.0112, acc_hum: -0.0035, acc_exo: 0.0466, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0030, vel_exo: 0.0112, acc_hum: -0.0035, acc_exo: 0.0466, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0037, vel_exo: 0.0110, acc_hum: -0.0707, acc_exo: -0.0183, tht_c: 0.0000, tht_l: 0.0071
vel_hum: -0.0037, vel_exo: 0.0110, acc_hum: -0.0707, acc_exo: -0.0183, tht_c: 0.0000, tht_l: 0.0071
vel_hum: -0.0043, vel_exo: 0.0108, acc_hum: -0.0573, acc_exo: -0.0241, tht_c: 0.0000, tht_l: 0.0071
vel_hum: -0.0043, vel_exo: 0.0108, acc_hum: -0.0573, acc_exo: -0.0241, tht_c: 0.0000, tht_l: 0.0071
vel_hum: -0.0043, vel_exo: 0.0109, acc_hum: -0.0052, acc_exo: 0.0105, tht_c: 0.0000, tht_l: 0.0077
vel_hum: -0.0043, vel_exo: 0.0109, acc_hum: -0.0052, acc_exo: 0.0105, tht_c: 0.0000, tht_l: 0.0077
vel_hum: -0.0037, vel_exo: 0.0101, acc_hum: 0.0622, acc_exo: -0.0755, tht_c: 0.0000, tht_l: 0.0073
vel_hum: -0.0037, vel_exo: 0.0101, acc_hum: 0.0622, acc_exo: -0.0755, tht_c: 0.0000, tht_l: 0.0073
vel_hum: -0.0034, vel_exo: 0.0098, acc_hum: 0.0343, acc_exo: -0.0311, tht_c: 0.0000, tht_l: 0.0059
vel_hum: -0.0034, vel_exo: 0.0098, acc_hum: 0.0343, acc_exo: -0.0311, tht_c: 0.0000, tht_l: 0.0059
