CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.426024  0.015  -0.000  -0.000   0.00     -2  -0.000
0.427024  0.015  -0.000  -0.000   0.00     -2  -0.000
0.428024  0.015  -0.000  -0.000   0.00     -2  -0.000
0.429024  0.015  -0.000  -0.000   0.00     -2  -0.000
0.430024  0.015  -0.000  -0.000   0.00     -2  -0.000
0.432024  0.015  0.000  -0.000   0.00     -2  -0.000
0.433024  0.015  0.000  -0.000   0.00     -2  -0.000
0.435024  0.015  0.000  -0.000   0.00     -2  -0.000
0.437025  0.015  0.000  -0.000   0.00     -2  -0.000
0.440025  0.015  0.000  -0.000   0.00     -2  -0.000
0.441025  0.015  0.000  -0.000   0.00     -2  -0.000
0.442025  0.015  0.000  -0.000   0.00     -2  -0.000
0.443025  0.015  -0.000  -0.000   0.00     -3  -0.000
0.444025  0.015  0.000  -0.000   0.00     -3  -0.000
0.445025  0.015  0.000  -0.000   0.00     -3  -0.000
0.446025  0.015  0.000  -0.000   0.00     -3  -0.000
0.448025  0.015  0.000  -0.000   0.00     -3  -0.000
0.449025  0.015  0.000  -0.000   0.00     -3  -0.000
0.450025  0.015  0.000  -0.000   0.00     -3  -0.000
0.451025  0.015  0.000  -0.000   0.00     -3  -0.000
0.452025  0.015  0.000  -0.000   0.00     -3  -0.000
0.453025  0.015  0.000  -0.000   0.00     -3  -0.000
0.454026  0.015  0.000  -0.000   0.00     -2  -0.000
0.455026  0.015  0.000  -0.000   0.00     -2  -0.000
0.456026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.458026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.459026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.460026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.461026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.462026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.463026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.464026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.465026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.466026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.467026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.468026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.469026  0.015  -0.000  -0.000   0.00     -2  -0.000
0.470026  0.015  0.000  -0.000   0.00     -1  -0.000
