SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-2.464     -3   -0.176  0.000  -182.738  -37446.391  -37440.176  -0.412  2.517  0.000
-2.576     -3   -0.176  0.000  -182.144  -37324.566  -37315.180  -0.598  1.575  0.000
-2.664     -3   -0.176  0.000  -181.767  -37247.410  -37234.613  -0.600  1.535  0.000
-2.935     -4   -0.176  0.000  -242.052  -49600.723  -49584.793  -0.596  2.381  0.000
-2.752     -2   -0.176  0.000  -121.869  -24973.096  -24951.994  -0.797  3.622  0.000
-2.606     -2   -0.176  0.000  -122.209  -25042.834  -25023.553  -0.403  5.017  0.000
-2.893     -4   -0.176  0.000  -243.366  -49870.031  -49853.117  -0.417  4.547  0.000
-3.123     -4   -0.176  0.000  -243.334  -49863.477  -49844.004  -0.808  1.871  0.000
-2.901     -2   -0.176  0.000  -121.664  -24931.107  -24909.861  -0.797  -0.515  0.000
-2.920     -3   -0.176  0.000  -180.853  -37060.031  -37041.344  -0.406  -0.423  0.000
-3.338     -5   -0.176  0.000  -301.567  -61796.582  -61775.246  -0.602  0.054  0.000
-3.272     -3   -0.176  0.000  -181.315  -37154.715  -37125.762  -0.986  0.190  0.000
-3.218     -3   -0.176  0.000  -181.213  -37133.902  -37105.023  -0.599  0.878  0.000
-3.176     -3   -0.176  0.000  -181.488  -37190.094  -37161.668  -0.599  0.589  0.000
-2.942     -2   -0.176  0.000  -121.072  -24809.834  -24782.059  -0.596  -0.061  0.000
-2.753     -1   -0.176  0.000  -120.734  -24740.537  -24715.766  -0.397  -0.198  0.000
-2.401     -1   -0.176  0.000  -60.379  -12372.701  -12349.679  -0.404  0.050  0.000
-2.120     -1   -0.176  0.000  -60.399  -12376.924  -12357.486  -0.204  0.513  0.000
-2.097     -2   -0.176  0.000  -120.884  -24771.355  -24754.725  -0.216  0.570  0.000
