acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
-0.066  -0.041  -0.013  0.001  -10.586      0  0.000
-0.053  -0.010  -0.014  0.003  -10.613      0  0.000
-0.022  0.023  -0.014  0.005  -11.270      0  0.000
0.009  0.050  -0.014  0.005  -10.644      0  0.000
0.033  0.063  -0.014  0.007  -11.070      0  0.000
0.025  0.076  -0.014  0.006  -11.150      0  0.000
-0.005  0.078  -0.014  0.007  -11.274      0  0.000
-0.030  0.076  -0.015  0.006  -11.777      0  0.000
-0.028  0.065  -0.014  0.005  -10.979      0  0.000
-0.024  0.049  -0.014  0.004  -10.642      0  0.000
0.005  0.032  -0.012  0.005  -9.618      0  0.000
0.010  0.008  -0.013  0.005  -10.575      0  0.000
-0.003  -0.013  -0.016  0.005  -12.904      0  0.000
-0.028  -0.024  -0.018  0.004  -14.373      0  0.000
-0.043  -0.040  -0.018  0.003  -14.260      0  0.000
-0.056  -0.031  -0.018  0.005  -14.275      0  0.000
-0.048  -0.026  -0.015  0.005  -11.869      0  0.000
-0.031  -0.008  -0.014  0.005  -10.679      0  0.000
-0.013  0.006  -0.012  0.005  -9.772      0  0.000
0.012  0.006  -0.012  0.004  -9.292      0  0.000
0.041  -0.007  -0.011  0.003  -8.859      0  0.000
0.076  0.000  -0.011  0.006  -9.001      0  0.000
0.100  0.019  -0.012  0.007  -9.066      0  0.000
0.097  0.035  -0.013  0.008  -9.861      0  0.000
0.078  0.060  -0.012  0.010  -9.636      0  0.000
0.045  0.051  -0.014  0.007  -10.776      0  0.000
0.005  0.050  -0.014  0.007  -11.009      0  0.000
-0.004  0.027  -0.011  0.004  -8.889      0  0.000
0.008  0.017  -0.009  0.005  -6.911      0  0.000
0.004  0.010  -0.012  0.005  -9.552      0  0.000
-0.008  -0.005  -0.014  0.006  -11.054      0  0.000
-0.033  -0.018  -0.017  0.008  -13.703      0  0.000
-0.043  -0.014  -0.016  0.008  -12.405      0  0.000
-0.026  -0.007  -0.012  0.008  -9.371      0  0.000
-0.009  -0.004  -0.011  0.006  -8.424      0  0.000
0.007  0.027  -0.011  0.008  -8.629      0  0.000
-0.000  0.025  -0.013  0.006  -10.257      0  0.000
-0.030  0.029  -0.017  0.007  -12.968      0  0.000
-0.039  0.010  -0.016  0.006  -12.938      0  0.000
-0.025  0.011  -0.017  0.008  -12.987      0  0.000
-0.020  0.014  -0.016  0.009  -12.282      0  0.000
-0.000  0.027  -0.012  0.012  -9.052      0  0.000
-0.004  0.037  -0.011  0.010  -8.689      0  0.000
-0.016  0.041  -0.013  0.008  -10.352      0  0.000
0.009  0.038  -0.011  0.008  -8.568      0  0.000
0.043  0.022  -0.010  0.007  -8.232      0  0.000
0.068  0.025  -0.012  0.009  -9.157      0  0.000
0.084  -0.001  -0.011  0.006  -8.596      0  0.000
0.064  -0.029  -0.013  0.005  -9.935      0  0.000
0.030  -0.052  -0.014  0.006  -11.346      0  0.000
-0.011  -0.050  -0.015  0.008  -11.903      0  0.000
-0.048  -0.050  -0.015  0.007  -11.925      0  0.000
-0.048  -0.031  -0.014  0.006  -10.790      0  0.000
-0.035  -0.020  -0.012  0.006  -9.565      0  0.000
-0.012  -0.015  -0.008  0.006  -6.523      0  0.000
0.019  -0.027  -0.009  0.003  -6.707      0  0.000
0.057  -0.023  -0.007  0.006  -5.875      0  0.000
0.079  -0.017  -0.008  0.005  -6.393      0  0.000
0.112  -0.026  -0.006  0.004  -5.067      0  0.000
0.125  -0.048  -0.007  0.003  -5.495      0  0.000
0.109  -0.041  -0.009  0.006  -6.883      0  0.000
0.093  -0.038  -0.007  0.003  -5.411      0  0.000
0.072  -0.038  -0.006  0.003  -4.718      0  0.000
0.045  -0.025  -0.007  0.005  -5.464      0  0.000
0.014  -0.015  -0.008  0.004  -6.337      0  0.000
-0.008  0.016  -0.011  0.008  -8.259      0  0.000
-0.027  0.039  -0.010  0.010  -7.820      0  0.000
-0.031  0.064  -0.009  0.008  -7.169      0  0.000
-0.052  0.084  -0.011  0.010  -8.927      0  0.000
-0.050  0.087  -0.010  0.009  -7.954      0  0.000
-0.071  0.076  -0.014  0.009  -11.210      0  0.000
-0.106  0.091  -0.016  0.010  -12.574      0  0.000
-0.105  0.071  -0.013  0.008  -10.597      0  0.000
-0.086  0.042  -0.013  0.008  -9.974      0  0.000
-0.061  0.015  -0.012  0.007  -9.156      0  0.000
-0.045  -0.027  -0.013  0.005  -10.219      0  0.000
-0.039  -0.040  -0.013  0.007  -10.013      0  0.000
-0.016  -0.036  -0.011  0.007  -8.512      0  0.000
-0.009  -0.049  -0.015  0.005  -11.800      0  0.000
0.007  -0.059  -0.012  0.004  -9.226      0  0.000
0.040  -0.075  -0.010  0.003  -8.062      0  0.000
0.036  -0.072  -0.012  0.005  -9.395      0  0.000
0.027  -0.069  -0.010  0.002  -8.087      0  0.000
0.017  -0.065  -0.012  0.003  -9.739      0  0.000
0.020  -0.060  -0.011  0.002  -8.469      0  0.000
0.031  -0.049  -0.010  0.004  -8.005      0  0.000
0.020  -0.047  -0.012  0.003  -9.487      0  0.000
0.027  -0.046  -0.009  0.001  -7.249      0  0.000
0.046  -0.039  -0.008  0.001  -6.667      0  0.000
