acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
0.057  -6.520  0.006  -0.341  -184917.969  0.000  0.000
0.017  -4.842  0.006  -0.321  -184917.969  0.000  0.000
0.010  -2.228  -0.003  -0.282  -184917.969  0.000  0.000
-0.018  0.081  -0.001  -0.278  -184917.969  0.000  0.000
-0.054  0.322  -0.008  -0.289  -184917.969  0.000  0.000
-0.035  0.001  0.000  -0.305  -184917.969  0.000  0.000
-0.005  -0.317  0.006  -0.311  -184917.969  0.000  0.000
-0.018  -0.290  -0.002  -0.305  -184917.969  0.000  0.000
-0.092  0.021  -0.003  -0.294  -184917.969  0.000  0.000
-0.067  0.301  0.002  -0.290  -184917.969  0.000  0.000
-0.046  0.272  -0.003  -0.296  -184917.969  0.000  0.000
-0.064  -0.008  -0.010  -0.302  -184917.969  0.000  0.000
-0.010  -0.198  -0.000  -0.303  -184917.969  0.000  0.000
-0.028  -0.130  -0.004  -0.300  -184917.969  0.000  0.000
-0.035  0.006  -0.004  -0.297  -184917.969  0.000  0.000
-0.035  0.097  0.005  -0.296  -184917.969  0.000  0.000
0.010  0.076  0.005  -0.298  -184917.969  0.000  0.000
0.055  -0.011  -0.000  -0.300  -184917.969  0.000  0.000
0.045  -0.067  -0.002  -0.300  -184917.969  0.000  0.000
0.056  -0.046  0.002  -0.299  -184917.969  0.000  0.000
0.087  0.012  0.001  -0.298  -184917.969  0.000  0.000
0.098  0.041  0.003  -0.298  -184917.969  0.000  0.000
0.009  0.024  -0.005  -0.299  -184917.969  0.000  0.000
-0.045  -0.008  -0.009  -0.299  -184917.969  0.000  0.000
-0.090  -0.024  -0.005  -0.299  -184917.969  0.000  0.000
-0.110  -0.014  -0.001  -0.299  -184917.969  0.000  0.000
-0.038  0.006  0.006  -0.298  -184917.969  0.000  0.000
-0.028  0.015  -0.005  -0.298  -184917.969  0.000  0.000
-0.015  0.008  -0.000  -0.299  -184917.969  0.000  0.000
-0.069  -0.004  -0.010  -0.299  -184917.969  0.000  0.000
0.002  -0.009  0.005  -0.299  -184917.969  0.000  0.000
0.051  -0.004  0.004  -0.299  -184917.969  0.000  0.000
0.070  0.003  -0.003  -0.299  -184917.969  0.000  0.000
0.034  0.005  -0.006  -0.299  -184917.969  0.000  0.000
-0.018  0.002  -0.003  -0.299  -184917.969  0.000  0.000
-0.044  -0.002  -0.002  -0.299  -184917.969  0.000  0.000
-0.029  -0.003  0.001  -0.299  -184917.969  0.000  0.000
0.036  -0.001  0.001  -0.299  -184917.969  0.000  0.000
0.084  0.001  0.011  -0.299  -184917.969  0.000  0.000
0.099  0.002  0.002  -0.299  -184917.969  0.000  0.000
-0.018  0.001  -0.009  -0.299  -184917.969  0.000  0.000
0.006  -0.001  -0.002  -0.299  -184917.969  0.000  0.000
0.005  -0.001  -0.006  -0.299  -184917.969  0.000  0.000
0.012  -0.000  0.002  -0.299  -184917.969  0.000  0.000
-0.013  0.001  -0.000  -0.299  -184917.969  0.000  0.000
-0.040  0.001  -0.002  -0.299  -184917.969  0.000  0.000
-0.070  0.000  -0.003  -0.299  -184917.969  0.000  0.000
-0.091  -0.000  -0.005  -0.299  -184917.969  0.000  0.000
-0.049  -0.000  0.004  -0.299  -184917.969  0.000  0.000
0.105  -0.000  0.012  -0.299  -184917.969  0.000  0.000
0.127  0.000  -0.000  -0.299  -184917.969  0.000  0.000
0.108  0.000  0.006  -0.299  -184917.969  0.000  0.000
0.049  0.000  -0.007  -0.299  -184917.969  0.000  0.000
0.042  -0.000  0.006  -0.299  -184917.969  0.000  0.000
0.079  -0.000  0.006  -0.299  -184917.969  0.000  0.000
0.067  -0.000  0.001  -0.299  -184917.969  0.000  0.000
0.064  0.000  0.005  -0.299  -184917.969  0.000  0.000
0.016  0.000  0.000  -0.299  -184917.969  0.000  0.000
-0.046  0.000  0.001  -0.299  -184917.969  0.000  0.000
-0.048  -0.000  0.002  -0.299  -184917.969  0.000  0.000
-0.028  -0.000  -0.005  -0.299  -184917.969  0.000  0.000
-0.088  0.000  -0.007  -0.299  -184917.969  0.000  0.000
-0.094  0.000  -0.006  -0.299  -184917.969  0.000  0.000
-0.140  0.000  -0.000  -0.299  -184917.969  0.000  0.000
-0.146  -0.000  -0.008  -0.299  -184917.969  0.000  0.000
