SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
8.099      1   0.176  0.000  1.644  0.220  -0.069  0.010  -0.004  0.000
11.009      1   0.176  0.000  1.636  0.258  -0.031  0.007  -0.001  0.000
11.335      2   0.176  0.000  1.145  0.161  -0.049  0.001  -0.008  0.000
10.383      5   0.176  0.000  0.549  0.112  -0.012  -0.009  -0.007  0.000
8.241      8   0.176  0.000  0.067  -0.000  -0.042  -0.009  -0.009  0.000
7.410      8   0.176  0.000  0.248  0.015  -0.044  0.006  -0.006  0.000
8.023     10   0.176  0.000  0.233  0.029  0.015  0.008  0.004  0.000
7.990      8   0.176  0.000  0.570  0.066  0.005  0.010  -0.006  0.000
8.342      6   0.176  0.000  0.392  0.063  0.011  0.004  -0.000  0.000
6.618      6   0.176  0.000  -0.328  -0.029  0.042  0.001  -0.003  0.000
4.646      9   0.176  0.000  -0.467  -0.031  0.027  -0.003  -0.005  0.000
3.783      6   0.176  0.000  -0.489  -0.021  0.052  -0.005  0.000  0.000
3.359      4   0.176  0.000  -0.238  0.015  0.080  0.000  -0.002  0.000
3.874      5   0.176  0.000  0.469  0.081  0.034  0.011  -0.007  0.000
4.856      1   0.176  0.000  0.077  0.022  0.053  0.003  0.003  0.000
2.783      1   0.176  0.000  -0.500  -0.114  -0.020  -0.008  -0.008  0.000
0.133      1   0.176  0.000  -0.675  -0.165  -0.091  -0.011  -0.012  0.000
-0.555      5   0.176  0.000  -0.451  -0.110  -0.054  0.002  -0.005  0.000
0.697      2   0.176  0.000  0.439  -0.000  -0.077  0.008  -0.006  0.000
3.324      2   0.176  0.000  0.709  0.065  -0.020  0.008  0.001  0.000
5.046     -1   0.176  0.000  0.883  0.108  -0.019  0.008  -0.005  0.000
5.084     -1   0.176  0.000  0.624  0.063  -0.061  -0.002  -0.010  0.000
