SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
109065.914      0   -725426.453  159124632.063  9257.647  16.347  1.000  4.560  5.790  1.531  0.020  100000
109005.859      0   528336.972  159124617.739  9257.563  19.817  1.000  4.560  5.790  1.531  0.020  100000
109003.383      0   530424.128  -218542819.148  9257.563  18.670  1.000  4.560  5.790  1.531  0.020  100000
-189920.141      2   530419.260  -217631157.352  -12714.239  19.645  1.000  4.560  5.790  1.531  0.020  100000
-148881.813     -2   530419.260  -217629094.704  -12661.201  18.027  1.000  4.560  5.790  1.531  0.020  100000
-148976.688      0   -728472.249  -217629094.704  -12661.080  18.371  1.000  4.560  5.790  1.531  0.020  100000
-148979.203      0   -725433.391  158499950.503  -12661.080  17.372  1.000  4.560  5.790  1.531  0.020  100000
148730.797      0   -725426.453  159126107.429  9221.219  18.219  1.000  4.560  5.790  1.531  0.020  100000
109070.297     -1   -725426.453  159124632.063  9257.647  18.265  1.000  4.560  5.790  1.531  0.020  100000
109003.164      0   528336.916  159124617.739  9257.563  18.639  1.000  4.560  5.790  1.531  0.020  100000
109006.117      2   530424.128  -218542819.148  9257.563  19.863  1.000  4.560  5.790  1.531  0.020  100000
-189923.609      2   530419.260  -217631157.352  -12714.239  18.116  1.000  4.560  5.790  1.531  0.020  100000
-148881.875      1   530419.260  -217629094.704  -12661.201  18.000  1.000  4.560  5.790  1.531  0.020  100000
-148980.984      1   -728472.249  -217629094.704  -12661.080  16.505  1.000  4.560  5.790  1.531  0.020  100000
-148978.984      0   -725433.391  158499950.503  -12661.080  17.473  1.000  4.560  5.790  1.531  0.020  100000
148730.547      1   -725426.453  159126107.429  9221.220  18.112  1.000  4.560  5.790  1.531  0.020  100000
109069.367     -2   -725426.453  159124632.063  9257.647  17.858  1.000  4.560  5.790  1.531  0.020  100000
109001.117     -1   528336.972  159124617.739  9257.563  17.748  1.000  4.560  5.790  1.531  0.020  100000
109005.008     -1   530424.128  -218542819.148  9257.563  19.380  1.000  4.560  5.790  1.531  0.020  100000
-189922.797     -2   530419.260  -217631157.352  -12714.239  18.490  1.000  4.560  5.790  1.531  0.020  100000
-148880.750      0   530419.260  -217629094.704  -12661.201  18.487  1.000  4.560  5.790  1.531  0.020  100000
-148978.719      0   -728472.249  -217629094.704  -12661.080  17.493  1.000  4.560  5.790  1.531  0.020  100000
-148980.594     -1   -725433.391  158499950.503  -12661.080  16.769  1.000  4.560  5.790  1.531  0.020  100000
148729.500      0   -725426.453  159126107.429  9221.219  17.659  1.000  4.560  5.790  1.531  0.020  100000
109070.648      0   -725426.453  159124632.063  9257.647  18.418  1.000  4.560  5.790  1.531  0.020  100000
109004.148      0   528336.916  159124617.739  9257.563  19.071  1.000  4.560  5.790  1.531  0.020  100000
109002.453     -1   530424.128  -218542819.148  9257.563  18.264  1.000  4.560  5.790  1.531  0.020  100000
-189919.813      0   530419.260  -217631157.352  -12714.239  19.784  1.000  4.560  5.790  1.531  0.020  100000
-148879.000     -2   530419.260  -217629094.704  -12661.201  19.254  1.000  4.560  5.790  1.531  0.020  100000
-148975.578      0   -728472.249  -217629094.704  -12661.080  18.856  1.000  4.560  5.790  1.531  0.020  100000
-148975.906     -1   -725433.391  158499950.503  -12661.080  18.812  1.000  4.560  5.790  1.531  0.020  100000
148734.859     -1   -725426.453  159126107.429  9221.219  19.986  1.000  4.560  5.790  1.531  0.020  100000
109074.047      1   -725426.453  159124632.063  9257.647  19.890  1.000  4.560  5.790  1.531  0.020  100000
109011.984      0   528336.916  159124617.739  9257.563  22.484  1.000  4.560  5.790  1.531  0.020  100000
109004.188     -1   530424.128  -218542819.148  9257.563  19.000  1.000  4.560  5.790  1.531  0.020  100000
-189914.469     -1   530419.260  -217631157.352  -12714.239  22.106  1.000  4.560  5.790  1.531  0.020  100000
-148877.547      0   530419.260  -217629094.704  -12661.201  19.877  1.000  4.560  5.790  1.531  0.020  100000
-148970.281      0   -728472.249  -217629094.704  -12661.080  21.157  1.000  4.560  5.790  1.531  0.020  100000
-148974.203     -2   -725433.391  158499950.503  -12661.080  19.548  1.000  4.560  5.790  1.531  0.020  100000
148732.891     -1   -725426.453  159126107.429  9221.219  19.125  1.000  4.560  5.790  1.531  0.020  100000
109073.258     -2   -725426.453  159124632.063  9257.647  19.542  1.000  4.560  5.790  1.531  0.020  100000
109003.945     -1   528336.916  159124617.739  9257.563  18.985  1.000  4.560  5.790  1.531  0.020  100000
109005.086     -1   530424.128  -218542819.148  9257.563  19.406  1.000  4.560  5.790  1.531  0.020  100000
-189919.453     -2   530419.260  -217631157.352  -12714.239  19.924  1.000  4.560  5.790  1.531  0.020  100000
-148880.750      0   530419.260  -217629094.704  -12661.201  18.490  1.000  4.560  5.790  1.531  0.020  100000
-148976.703      0   -728472.249  -217629094.704  -12661.080  18.368  1.000  4.560  5.790  1.531  0.020  100000
-148979.125      2   -725433.391  158499950.503  -12661.080  17.412  1.000  4.560  5.790  1.531  0.020  100000
148729.750      1   -725426.453  159126107.429  9221.220  17.753  1.000  4.560  5.790  1.531  0.020  100000
109067.859      1   -725426.453  159124632.063  9257.647  17.198  1.000  4.560  5.790  1.531  0.020  100000
