OmegaControlKF
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  vel_motor[rad / s]
0.330018  -0.074  0.012  -0.013  0.156  -0.000
0.331019  -0.074  0.012  -0.013  0.156  -0.000
0.332019  -0.086  0.012  -0.013  0.157  -0.000
0.333019  -0.086  0.012  -0.013  0.157  -0.000
0.334019  -0.085  0.012  -0.013  0.158  -0.000
0.335019  -0.085  0.012  -0.013  0.158  -0.000
0.336019  -0.084  0.012  -0.013  0.158  -0.000
0.337019  -0.066  0.012  -0.013  0.158  -0.000
0.338019  -0.065  0.012  -0.013  0.159  -0.000
0.339019  -0.065  0.012  -0.013  0.159  -0.000
0.340019  -0.064  0.012  -0.013  0.159  -0.000
0.341019  -0.064  0.012  -0.013  0.159  -0.000
0.342019  0.020  0.012  -0.013  0.159  -0.000
0.343019  0.019  0.012  -0.013  0.159  -0.000
0.344019  0.019  0.012  -0.013  0.160  -0.000
0.345019  0.019  0.012  -0.013  0.160  -0.000
0.346019  0.019  0.012  -0.013  0.160  -0.000
0.347019  -0.012  0.012  -0.013  0.161  -0.000
0.348019  -0.012  0.012  -0.013  0.161  -0.000
0.349020  -0.012  0.012  -0.013  0.161  -0.000
0.350020  -0.012  0.012  -0.013  0.161  -0.000
0.351020  -0.012  0.012  -0.013  0.161  -0.000
0.352020  0.014  0.012  -0.013  0.161  -0.000
0.353020  0.014  0.012  -0.013  0.162  -0.000
0.355020  0.014  0.012  -0.013  0.162  -0.000
0.356020  0.014  0.012  -0.013  0.162  -0.000
0.357020  0.014  0.012  -0.013  0.162  -0.000
0.358020  0.014  0.012  -0.013  0.162  -0.000
0.359020  0.014  0.012  -0.013  0.163  -0.000
0.360020  0.014  0.012  -0.013  0.163  -0.000
0.361020  0.014  0.012  -0.013  0.163  -0.000
0.362020  0.013  0.012  -0.013  0.163  -0.000
0.363020  0.013  0.012  -0.013  0.163  -0.000
0.364020  0.013  0.012  -0.013  0.163  -0.000
0.365020  0.013  0.012  -0.013  0.164  -0.000
0.366021  0.013  0.012  -0.013  0.164  -0.000
0.367021  0.013  0.012  -0.013  0.164  -0.000
0.368021  0.013  0.012  -0.013  0.164  -0.000
0.369021  0.013  0.012  -0.013  0.164  -0.000
0.370021  0.013  0.012  -0.013  0.164  -0.000
0.371021  0.013  0.012  -0.013  0.165  -0.000
0.372021  0.012  0.012  -0.013  0.165  -0.000
0.373021  0.012  0.012  -0.013  0.165  -0.000
0.374021  0.012  0.012  -0.013  0.165  -0.000
0.375021  0.012  0.012  -0.013  0.165  -0.000
0.376021  0.012  0.012  -0.013  0.165  -0.000
0.377021  0.012  0.012  -0.013  0.166  -0.000
0.378021  0.012  0.012  -0.013  0.166  -0.000
0.379021  0.012  0.012  -0.013  0.166  -0.000
0.380021  0.012  0.012  -0.013  0.166  -0.000
0.381021  0.012  0.012  -0.013  0.166  -0.000
0.382021  0.012  0.012  -0.013  0.166  -0.000
0.383021  0.011  0.012  -0.013  0.166  -0.000
0.384022  0.011  0.012  -0.013  0.167  -0.000
0.385022  0.011  0.012  -0.013  0.167  -0.000
0.386022  0.011  0.012  -0.013  0.167  -0.000
0.387022  0.011  0.012  -0.013  0.167  -0.000
0.388022  0.011  0.012  -0.013  0.167  -0.000
0.389022  0.011  0.012  -0.013  0.167  -0.000
0.390022  0.011  0.012  -0.013  0.168  -0.000
0.391022  0.011  0.012  -0.013  0.168  -0.000
0.392022  0.011  0.012  -0.013  0.168  -0.000
0.393022  0.011  0.012  -0.013  0.168  -0.000
0.394022  0.011  0.012  -0.013  0.168  -0.000
0.395022  0.010  0.012  -0.013  0.168  -0.000
0.396022  0.010  0.012  -0.013  0.168  -0.000
0.397022  0.010  0.012  -0.013  0.168  -0.000
0.399022  0.010  0.012  -0.013  0.169  -0.000
0.400022  -0.015  0.012  -0.013  0.169  -0.000
0.401023  -0.029  0.012  -0.013  0.169  -0.000
0.402023  -0.029  0.012  -0.013  0.169  -0.000
0.403023  -0.029  0.012  -0.013  0.169  -0.000
0.404023  -0.028  0.012  -0.013  0.169  -0.000
0.405023  -0.028  0.012  -0.013  0.169  -0.000
0.406023  -0.027  0.012  -0.013  0.170  -0.000
0.407023  -0.027  0.012  -0.013  0.170  -0.000
0.408023  -0.027  0.012  -0.013  0.170  -0.000
0.409023  -0.027  0.012  -0.013  0.170  -0.000
0.410023  -0.016  0.012  -0.013  0.171  -0.000
0.411023  -0.016  0.012  -0.013  0.171  -0.000
0.412023  -0.016  0.012  -0.013  0.171  -0.000
0.413023  -0.016  0.012  -0.013  0.171  -0.000
0.414023  -0.016  0.012  -0.013  0.171  -0.000
0.415023  0.007  0.012  -0.013  0.171  -0.000
0.416023  0.007  0.012  -0.013  0.171  -0.000
0.417023  0.006  0.012  -0.013  0.171  -0.000
0.418023  0.006  0.012  -0.013  0.172  -0.000
0.419024  0.006  0.012  -0.013  0.172  -0.000
0.420024  0.004  0.012  -0.013  0.172  -0.000
0.421024  0.004  0.012  -0.013  0.172  -0.000
0.422024  0.004  0.012  -0.013  0.172  -0.000
0.423024  0.004  0.012  -0.013  0.172  -0.000
0.424024  0.004  0.012  -0.013  0.172  -0.000
0.425024  0.058  0.012  -0.013  0.172  -0.000
0.426024  0.058  0.012  -0.013  0.173  -0.000
0.427024  0.058  0.012  -0.013  0.173  -0.000
0.428024  0.057  0.012  -0.013  0.173  -0.000
0.429024  0.057  0.012  -0.013  0.173  -0.000
0.430024  0.029  0.012  -0.013  0.173  -0.000
0.431024  0.029  0.012  -0.013  0.173  -0.000
0.432024  0.029  0.012  -0.013  0.173  -0.000
0.433024  0.028  0.012  -0.013  0.174  -0.000
0.434024  0.028  0.012  -0.013  0.174  -0.000
0.435024  0.042  0.012  -0.013  0.174  -0.000
0.436025  0.042  0.012  -0.013  0.174  -0.000
0.437025  0.042  0.012  -0.013  0.174  -0.000
0.438025  0.041  0.012  -0.013  0.174  -0.000
0.439025  0.041  0.012  -0.013  0.174  -0.000
0.440025  0.028  0.012  -0.013  0.174  -0.000
0.441025  0.027  0.012  -0.013  0.174  -0.000
0.442025  0.027  0.013  -0.013  0.175  -0.000
0.443025  0.027  0.013  -0.013  0.175  -0.000
0.444025  0.027  0.013  -0.013  0.175  -0.000
0.445025  0.013  0.013  -0.013  0.175  -0.000
0.446025  0.013  0.013  -0.013  0.175  -0.000
0.447025  0.013  0.013  -0.013  0.175  -0.000
0.448025  0.013  0.013  -0.013  0.176  -0.000
0.449025  0.013  0.013  -0.013  0.176  -0.000
0.450025  -0.002  0.013  -0.013  0.176  -0.000
0.451025  -0.002  0.013  -0.013  0.176  -0.000
0.452025  -0.002  0.013  -0.013  0.176  -0.000
0.453025  -0.002  0.013  -0.013  0.176  -0.000
0.454026  -0.001  0.013  -0.013  0.176  -0.000
0.455026  0.026  0.013  -0.013  0.176  -0.000
0.456026  0.026  0.013  -0.013  0.177  -0.000
0.457026  0.026  0.013  -0.013  0.177  -0.000
0.458026  0.026  0.013  -0.013  0.177  -0.000
0.459026  0.026  0.013  -0.013  0.177  -0.000
0.460026  -0.029  0.013  -0.013  0.177  -0.000
0.461026  -0.029  0.013  -0.013  0.177  -0.000
0.462026  -0.028  0.013  -0.013  0.178  -0.000
0.463026  -0.028  0.013  -0.013  0.178  -0.000
0.464026  -0.028  0.013  -0.013  0.178  -0.000
0.465026  0.027  0.013  -0.013  0.178  -0.000
0.466026  0.027  0.013  -0.013  0.178  -0.000
0.467026  0.027  0.013  -0.013  0.178  -0.000
0.468026  0.026  0.013  -0.013  0.178  -0.000
0.469026  0.026  0.013  -0.013  0.178  -0.000
0.470026  -0.055  0.013  -0.013  0.178  -0.000
0.471027  -0.055  0.013  -0.013  0.179  -0.000
0.472027  -0.054  0.013  -0.013  0.179  -0.000
0.473027  -0.054  0.013  -0.013  0.179  -0.000
0.474027  -0.053  0.012  -0.013  0.179  -0.000
0.475027  -0.066  0.012  -0.013  0.179  0.000
0.476027  -0.065  0.012  -0.013  0.179  0.000
0.477027  -0.065  0.012  -0.013  0.179  0.000
0.478027  -0.064  0.012  -0.013  0.179  0.000
0.479027  -0.064  0.012  -0.013  0.179  0.000
0.480027  -0.115  0.012  -0.013  0.179  -0.000
0.481027  -0.114  0.012  -0.013  0.179  -0.000
0.482027  -0.114  0.012  -0.013  0.179  -0.000
0.483027  -0.113  0.012  -0.013  0.179  -0.000
0.484027  -0.112  0.012  -0.013  0.179  -0.000
0.485027  -0.081  0.012  -0.013  0.179  -0.000
0.486027  -0.080  0.011  -0.013  0.179  -0.000
0.487027  -0.080  0.011  -0.013  0.179  -0.000
0.488027  -0.079  0.011  -0.013  0.179  -0.000
0.489028  -0.079  0.011  -0.013  0.180  -0.000
0.490028  -0.077  0.011  -0.013  0.180  -0.000
0.491028  -0.077  0.011  -0.013  0.180  -0.000
0.492028  -0.076  0.011  -0.013  0.180  -0.000
0.493028  -0.075  0.011  -0.013  0.180  -0.000
0.494028  -0.075  0.011  -0.013  0.180  -0.000
0.495028  -0.072  0.011  -0.013  0.180  -0.000
0.496028  -0.072  0.011  -0.013  0.180  -0.000
0.497028  -0.071  0.011  -0.013  0.180  -0.000
0.498028  -0.071  0.011  -0.013  0.180  -0.000
0.499028  -0.070  0.010  -0.013  0.180  -0.000
0.500028  -0.055  0.010  -0.013  0.181  -0.000
0.501028  -0.055  0.010  -0.013  0.181  -0.000
0.502028  -0.054  0.010  -0.013  0.181  -0.000
0.503028  -0.054  0.010  -0.013  0.181  -0.000
0.504028  -0.054  0.010  -0.013  0.181  -0.000
0.505028  -0.094  0.010  -0.013  0.181  0.000
0.506029  -0.093  0.010  -0.013  0.181  0.000
0.507029  -0.093  0.010  -0.013  0.181  0.000
0.508029  -0.092  0.010  -0.013  0.181  0.000
0.509029  -0.091  0.010  -0.013  0.181  0.000
