acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  acc_motor[rad/s2]  actual_Vel[rad/s]
-1.940  0.002  -1.256  0.001  -2.666  0.001  -8.556  0.000      0
-2.566  0.004  -1.663  0.002  -3.634  0.005  -10.785  0.000      0
-2.910  -0.001  -1.898  -0.001  -4.137  -0.004  -13.120  0.000      0
-2.677  -0.004  -1.775  -0.003  -3.711  -0.008  -14.526  0.000      0
-2.297  0.002  -1.560  0.001  -3.057  0.001  -14.932  0.000      0
-1.769  0.002  -1.248  0.001  -2.173  0.001  -14.294  0.000      0
-1.226  0.002  -0.923  0.001  -1.276  0.001  -12.810  0.000      0
-0.488  0.002  -0.471  0.001  -0.079  0.001  -10.322  0.000      0
-0.281  0.002  -0.346  0.001  0.253  0.001  -7.972  0.000      0
-0.599  -0.004  -0.547  -0.003  -0.259  -0.009  -6.659  0.000      0
-1.003  0.010  -0.804  0.006  -0.902  0.015  -6.290  0.000      0
-1.482  -0.005  -1.111  -0.003  -1.656  -0.009  -6.834  0.000      0
-1.905  0.001  -1.388  0.001  -2.312  0.000  -7.975  0.000      0
-2.000  -0.001  -1.463  -0.001  -2.435  -0.004  -9.023  0.000      0
-1.931  0.002  -1.435  0.001  -2.293  0.001  -9.703  0.000      0
-1.827  -0.001  -1.386  -0.001  -2.097  -0.004  -10.037  0.000      0
-1.694  0.002  -1.317  0.001  -1.858  0.001  -10.041  0.000      0
-1.240  -0.001  -1.047  -0.001  -1.107  -0.003  -9.230  0.000      0
-0.698  0.004  -0.718  0.002  -0.226  0.005  -7.618  0.000      0
-0.427  0.001  -0.554  0.000  0.211  -0.000  -5.858  0.000      0
-0.474  -0.004  -0.587  -0.003  0.133  -0.009  -4.543  0.000      0
-0.377  0.002  -0.530  0.001  0.286  0.001  -3.318  0.000      0
-0.288  -0.001  -0.478  -0.001  0.425  -0.004  -2.191  0.000      0
-0.159  0.001  -0.399  0.001  0.626  0.001  -1.070  0.000      0
-0.022  -0.001  -0.315  -0.001  0.836  -0.004  0.052  0.000      0
-0.080  0.007  -0.351  0.004  0.734  0.010  0.848  0.000      0
-0.102  -0.007  -0.366  -0.005  0.689  -0.013  1.418  0.000      0
0.015  0.002  -0.294  0.001  0.867  0.001  2.078  0.000      0
0.104  -0.001  -0.238  -0.001  0.998  -0.004  2.744  0.000      0
-0.136  -0.001  -0.387  -0.001  0.602  -0.003  2.846  0.000      0
-0.443  -0.001  -0.580  -0.001  0.103  -0.003  2.384  0.000      0
-0.408  0.002  -0.561  0.001  0.158  0.001  2.079  0.000      0
-0.368  0.002  -0.540  0.001  0.219  0.001  1.901  0.000      0
-0.160  -0.001  -0.413  -0.001  0.549  -0.003  2.115  0.000      0
-0.044  -0.004  -0.341  -0.003  0.728  -0.008  2.476  0.000      0
-0.029  0.002  -0.332  0.001  0.743  0.002  2.789  0.000      0
-0.074  0.002  -0.361  0.001  0.662  0.001  2.950  0.000      0
0.003  0.002  -0.313  0.001  0.776  0.001  3.203  0.000      0
0.192  -0.001  -0.195  -0.001  1.068  -0.004  3.719  0.000      0
0.362  0.002  -0.088  0.001  1.327  0.001  4.416  0.000      0
0.578  -0.001  0.050  -0.001  1.655  -0.003  5.327  0.000      0
0.769  0.002  0.175  0.001  1.940  0.001  6.369  0.000      0
0.894  0.002  0.259  0.001  2.116  0.002  7.392  0.000      0
0.736  0.001  0.167  0.001  1.834  0.001  7.903  0.000      0
0.612  -0.001  0.096  -0.001  1.614  -0.004  8.069  0.000      0
0.604  -0.001  0.095  -0.001  1.580  -0.003  8.164  0.000      0
0.513  0.002  0.043  0.001  1.413  0.001  8.062  0.000      0
0.457  0.001  0.012  0.001  1.306  0.001  7.865  0.000      0
0.355  -0.004  -0.048  -0.003  1.125  -0.008  7.504  0.000      0
0.278  0.004  -0.093  0.003  0.989  0.006  7.077  0.000      0
0.307  -0.007  -0.073  -0.004  1.022  -0.012  6.759  0.000      0
0.826  0.007  0.254  0.004  1.840  0.011  7.410  0.000      0
1.220  -0.001  0.507  -0.001  2.446  -0.003  8.580  0.000      0
1.222  0.002  0.518  0.001  2.418  0.001  9.488  0.000      0
1.078  0.002  0.438  0.001  2.157  0.001  9.929  0.000      0
1.032  -0.001  0.418  -0.001  2.055  -0.003  10.168  0.000      0
1.159  0.002  0.505  0.001  2.232  0.001  10.555  0.000      0
1.232  -0.001  0.560  -0.001  2.320  -0.004  10.956  0.000      0
1.240  0.001  0.575  0.001  2.304  0.001  11.263  0.000      0
1.143  0.001  0.524  0.001  2.119  0.001  11.307  0.000      0
1.064  0.002  0.484  0.001  1.965  0.001  11.174  0.000      0
1.196  -0.001  0.575  -0.001  2.152  -0.004  11.268  0.000      0
1.474  -0.001  0.758  -0.001  2.568  -0.003  11.796  0.000      0
1.668  0.002  0.892  0.001  2.847  0.001  12.524  0.000      0
