acc_{hum}[rpm/s]  acc_{exo}[rpm/s]  vel_{hum}[rpm]  vel_{exo}[rpm]  vel_{motor}[rpm]  actual\_Vel[rpm]  Voltage[V]
-0.006  -3.328  -0.001  0.000  -29.497     -3  0.019
-0.004  -24.356  -0.001  0.000  -19.185     -5  0.032
0.002  -54.325  -0.000  0.000  3.140     -7  0.044
0.008  -89.554  -0.000  0.000  9.633     -9  0.057
0.010  -116.356  0.000  0.000  15.339     -9  0.057
0.008  -136.617  -0.001  0.000  -14.320    -11  0.070
0.003  -140.815  -0.001  0.000  -13.392    -10  0.063
-0.004  -125.198  -0.001  0.000  -22.262     -8  0.051
0.002  -99.744  -0.000  0.000  7.130     -8  0.051
0.005  -63.422  -0.000  0.000  4.809     -7  0.044
0.003  -27.836  -0.001  0.000  -8.490     -6  0.038
-0.002  15.428  -0.001  0.000  -16.354     -5  0.032
-0.012  65.958  -0.002  0.000  -51.325     -2  0.013
-0.018  102.879  -0.002  0.000  -66.961     -2  0.013
-0.013  119.130  -0.001  0.000  -20.312     -2  0.013
-0.002  123.211  -0.000  0.000  -0.092     -2  0.013
-0.002  96.764  -0.001  0.000  -13.469     -4  0.025
-0.002  51.330  -0.001  0.000  -10.058     -7  0.044
-0.004  15.301  -0.001  0.000  -13.153     -7  0.044
0.001  -31.782  -0.001  0.000  -12.103    -10  0.063
0.003  -78.913  -0.001  0.000  -21.350    -11  0.070
0.010  -117.759  -0.000  0.000  9.356    -11  0.070
0.012  -143.959  -0.001  0.000  -7.832    -11  0.070
0.007  -133.000  -0.001  0.000  -8.877     -9  0.057
0.001  -108.130  -0.000  0.000  10.751     -9  0.057
-0.001  -75.426  -0.001  0.000  -12.594     -9  0.057
0.002  -29.020  -0.001  0.000  -14.796     -7  0.044
0.001  14.914  -0.001  0.000  -18.430     -6  0.038
0.006  48.514  0.000  0.000  9.191     -5  0.032
0.008  79.200  -0.000  0.000  3.498     -5  0.032
0.009  95.739  -0.000  0.000  2.274     -4  0.025
0.003  97.966  -0.001  0.000  -13.173     -4  0.025
0.006  90.134  -0.000  0.000  -2.716     -4  0.025
0.005  80.881  -0.000  0.000  -3.440     -3  0.019
0.006  76.819  0.000  0.000  5.796     -3  0.019
0.008  72.758  -0.000  0.000  -4.837     -2  0.013
0.005  60.966  -0.000  0.000  -11.811     -2  0.013
0.002  61.474  -0.000  0.000  -8.123      0  0.000
-0.000  62.883  0.000  0.000  3.890      0  0.000
0.002  65.566  -0.000  0.000  -2.185      0  0.000
0.001  63.300  -0.000  0.000  -14.081      0  0.000
-0.001  60.434  -0.001  0.000  -24.826      0  0.000
-0.010  52.929  -0.001  0.000  -41.763      0  0.000
-0.011  41.009  -0.001  0.000  -22.459      0  0.000
-0.008  31.840  0.000  0.000  2.227      0  0.000
-0.002  15.760  0.000  0.000  2.358     -1  0.006
-0.001  -3.922  -0.000  0.000  -7.590     -2  0.013
-0.010  -24.010  -0.002  0.000  -56.052     -2  0.013
-0.007  -31.220  -0.000  0.000  -7.626     -2  0.013
-0.002  -32.934  -0.000  0.000  -12.557     -2  0.013
0.003  -32.400  -0.000  0.000  -7.876     -2  0.013
0.004  -41.528  -0.001  0.000  -14.557     -4  0.025
0.001  -65.810  -0.001  0.000  -14.813     -7  0.044
-0.003  -80.283  -0.000  0.000  -4.899     -6  0.038
-0.008  -82.614  -0.001  0.000  -24.537     -6  0.038
-0.002  -68.802  -0.000  0.000  -6.126     -5  0.032
0.007  -49.415  0.000  0.000  12.048     -4  0.025
0.012  -37.071  -0.000  0.000  4.335     -4  0.025
0.005  -27.538  -0.000  0.000  -2.177     -4  0.025
0.001  -10.887  -0.001  0.000  -29.089     -3  0.019
-0.005  17.412  -0.002  0.000  -44.103     -2  0.013
-0.001  50.297  -0.000  0.000  -8.052     -2  0.013
0.003  37.871  0.000  0.000  19.414     -8  0.051
0.000  -7.048  -0.001  0.000  -4.736     -9  0.057
-0.001  -38.725  -0.001  0.000  -13.031     -7  0.044
-0.012  -58.295  -0.002  0.000  -40.744     -7  0.044
-0.011  -56.687  -0.001  0.000  -11.085     -6  0.038
-0.004  -40.763  -0.000  0.000  -4.534     -5  0.032
0.004  -29.405  -0.000  0.000  4.479     -5  0.032
0.008  -20.380  -0.000  0.000  -5.499     -4  0.025
0.002  -5.473  -0.001  0.000  -28.973     -4  0.025
-0.011  29.998  -0.002  0.000  -50.685     -3  0.019
-0.010  73.230  -0.001  0.000  -25.935     -3  0.019
-0.001  78.519  -0.000  0.000  -7.146     -3  0.019
0.003  50.134  -0.000  0.000  -6.210     -5  0.032
0.005  22.582  -0.000  0.000  -0.089     -5  0.032
-0.004  -9.984  -0.001  0.000  -26.848     -7  0.044
-0.002  -45.198  -0.000  0.000  1.706    -10  0.063
-0.000  -64.478  -0.001  0.000  -10.559     -9  0.057
0.005  -80.591  -0.000  0.000  -2.243     -9  0.057
0.010  -80.991  -0.000  0.000  -3.142     -7  0.044
0.008  -71.248  -0.001  0.000  -9.324     -6  0.038
0.003  -44.110  -0.000  0.000  -3.065     -5  0.032
0.004  -12.666  0.000  0.000  14.005     -5  0.032
0.005  23.997  -0.000  0.000  -6.990     -4  0.025
0.008  49.739  -0.000  0.000  2.083     -4  0.025
0.011  76.982  -0.000  0.000  1.426     -3  0.019
0.001  101.094  -0.001  0.000  -33.472     -1  0.006
0.003  102.073  -0.000  0.000  -3.291     -1  0.006
-0.003  95.327  -0.001  0.000  -26.600     -1  0.006
-0.002  79.925  -0.000  0.000  -4.757     -1  0.006
-0.001  68.487  -0.000  0.000  -2.800     -1  0.006
0.001  59.944  0.000  0.000  9.813     -1  0.006
-0.003  53.010  -0.001  0.000  -26.569     -1  0.006
-0.003  40.813  -0.001  0.000  -29.298     -1  0.006
-0.002  32.078  -0.000  0.000  -6.132      0  0.000
0.005  20.386  0.001  0.000  15.299      0  0.000
0.014  12.261  0.001  0.000  28.306      0  0.000
0.008  14.561  -0.000  0.000  -9.993      0  0.000
0.007  18.084  -0.000  0.000  -11.426      0  0.000
0.006  18.913  0.000  0.000  9.755      0  0.000
0.002  16.675  -0.001  0.000  -16.185      0  0.000
0.008  12.704  0.001  0.000  26.460      0  0.000
0.006  8.682  -0.001  0.000  -24.952      0  0.000
-0.006  4.690  -0.001  0.000  -38.872      0  0.000
-0.015  0.520  -0.001  0.000  -24.851      0  0.000
-0.018  0.570  -0.001  0.000  -19.974      0  0.000
-0.012  0.512  -0.000  0.000  -0.167      0  0.000
-0.002  0.370  0.000  0.000  3.627      0  0.000
-0.003  0.065  -0.000  0.000  -12.485      0  0.000
-0.010  -0.249  -0.002  0.000  -45.699      0  0.000
-0.011  -0.382  -0.002  0.000  -46.301      0  0.000
-0.009  -47.086  -0.000  0.000  3.337     -9  0.057
0.001  -104.470  -0.001  0.000  -3.852    -11  0.070
-0.001  -149.555  -0.001  0.000  -9.165    -11  0.070
-0.005  -180.502  -0.001  0.000  -8.317    -12  0.076
-0.006  -199.118  -0.001  0.000  -2.677    -13  0.082
-0.009  -195.045  -0.001  0.000  -20.842    -11  0.070
-0.002  -181.226  -0.000  0.000  7.360    -11  0.070
0.004  -148.747  -0.001  0.000  -7.422     -9  0.057
0.007  -98.578  -0.001  0.000  -13.012     -8  0.051
0.008  -28.710  0.000  0.000  11.050     -7  0.044
0.001  49.713  -0.001  0.000  -16.546     -7  0.044
0.003  82.947  -0.001  0.000  -13.334     -6  0.038
0.002  94.362  -0.001  0.000  -19.079     -5  0.032
-0.001  97.853  -0.001  0.000  -24.013     -5  0.032
0.006  99.668  0.001  0.000  27.710     -4  0.025
0.007  98.157  -0.000  0.000  -7.159     -3  0.019
0.007  97.619  0.000  0.000  8.221     -3  0.019
0.008  84.723  -0.000  0.000  -9.680     -3  0.019
0.006  74.570  -0.001  0.000  -13.861     -2  0.013
0.005  65.251  -0.000  0.000  0.588     -2  0.013
0.008  60.925  -0.000  0.000  -8.445     -2  0.013
0.005  52.184  -0.000  0.000  -11.724     -2  0.013
-0.005  47.361  -0.002  0.000  -46.700     -1  0.006
-0.009  43.343  -0.001  0.000  -19.861     -1  0.006
-0.012  35.267  -0.000  0.000  -1.322     -1  0.006
-0.002  -18.148  0.000  0.000  15.971    -10  0.063
-0.002  -62.313  -0.000  0.000  1.954     -9  0.057
0.001  -95.432  -0.001  0.000  -1.680     -9  0.057
-0.002  -110.497  -0.001  0.000  -20.558     -8  0.051
-0.004  -105.413  -0.001  0.000  -14.555     -7  0.044
0.000  -90.212  -0.000  0.000  -3.913     -6  0.038
0.003  -75.826  -0.000  0.000  -3.419     -6  0.038
-0.000  -55.920  -0.001  0.000  -29.189     -5  0.032
-0.013  -18.233  -0.002  0.000  -42.033     -4  0.025
-0.014  36.028  -0.001  0.000  -23.996     -3  0.019
-0.008  93.584  -0.000  0.000  -7.122     -3  0.019
0.005  94.845  0.001  0.000  25.064     -3  0.019
0.013  74.482  0.000  0.000  20.617     -4  0.025
0.009  37.079  -0.001  0.000  -28.079     -6  0.038
0.004  8.824  -0.001  0.000  -20.404     -6  0.038
0.003  -5.713  -0.001  0.000  -7.946     -6  0.038
0.007  -7.651  -0.000  0.000  0.652     -5  0.032
0.002  -15.631  -0.002  0.000  -40.430     -5  0.032
-0.004  -21.832  -0.001  0.000  -29.239     -4  0.025
-0.011  -17.758  -0.001  0.000  -13.597     -3  0.019
-0.013  -0.805  -0.001  0.000  -11.429     -3  0.019
-0.015  19.710  -0.001  0.000  -32.255     -3  0.019
-0.009  34.799  -0.001  0.000  -29.214     -4  0.025
-0.002  29.432  -0.001  0.000  -26.897     -6  0.038
-0.006  -2.161  -0.001  0.000  -24.879     -8  0.051
-0.006  -86.123  -0.001  0.000  0.117    -18  0.114
-0.006  -167.317  -0.001  0.000  -13.288    -19  0.120
0.001  -221.288  -0.001  0.000  5.400    -19  0.120
-0.003  -250.965  -0.001  0.000  -7.334    -19  0.120
0.002  -253.197  -0.000  0.000  23.485    -18  0.114
0.010  -227.358  0.000  0.000  26.911    -16  0.101
0.014  -190.736  -0.000  0.000  11.420    -16  0.101
0.010  -131.975  -0.001  0.000  -12.177    -14  0.089
0.002  -51.786  -0.002  0.000  -38.449    -12  0.076
-0.001  31.341  -0.001  0.000  -19.748    -10  0.063
-0.002  115.654  -0.001  0.000  -5.045    -10  0.063
0.004  147.759  0.000  0.000  17.051     -8  0.051
0.001  157.467  -0.001  0.000  -6.277     -7  0.044
-0.002  154.352  -0.001  0.000  -22.987     -7  0.044
-0.009  149.468  -0.001  0.000  -31.840     -6  0.038
0.005  147.857  0.001  0.000  33.840     -5  0.032
0.013  149.497  -0.000  0.000  3.254     -4  0.025
0.019  134.512  0.000  0.000  5.573     -4  0.025
0.014  117.458  -0.001  0.000  -23.167     -3  0.019
0.001  101.829  -0.001  0.000  -35.882     -3  0.019
-0.006  88.159  -0.001  0.000  -22.486     -2  0.013
-0.003  77.809  0.000  0.000  1.925     -2  0.013
-0.003  71.768  -0.001  0.000  -32.265     -2  0.013
-0.001  64.478  -0.000  0.000  -7.334     -2  0.013
-0.005  55.126  -0.001  0.000  -19.954     -1  0.006
-0.007  45.462  0.000  0.000  3.895     -1  0.006
-0.000  38.594  -0.001  0.000  -18.385     -1  0.006
-0.001  34.556  -0.001  0.000  -37.451      0  0.000
0.001  33.213  -0.001  0.000  -32.021      0  0.000
-0.001  33.821  -0.001  0.000  -28.647      0  0.000
-0.008  25.425  -0.001  0.000  -34.360     -1  0.006
-0.007  18.691  -0.000  0.000  -8.138     -1  0.006
0.001  -3.376  -0.000  0.000  -1.669     -4  0.025
-0.002  -35.716  -0.001  0.000  -9.071     -6  0.038
