accBasedPosition [2021-02-13-21-39-20]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  theta_m[rad]
0.335019  0.028  0.005  -0.007  0.000  0.000
0.336019  0.028  0.005  -0.007  0.000  0.000
0.337019  0.028  0.005  -0.007  0.000  0.000
0.338019  0.028  0.005  -0.007  0.000  0.000
0.339019  0.028  0.005  -0.007  0.000  0.000
0.340019  0.028  0.005  -0.007  0.000  0.000
0.341019  0.020  0.005  -0.006  0.000  0.000
0.342019  0.020  0.005  -0.006  0.000  0.000
0.343019  0.020  0.005  -0.006  0.000  0.000
0.344019  0.020  0.005  -0.006  0.000  0.000
0.345019  0.020  0.005  -0.006  0.000  0.000
0.346019  0.020  0.005  -0.006  0.000  0.000
0.347019  0.020  0.005  -0.006  0.000  0.000
0.348019  0.017  0.005  -0.007  0.000  0.000
0.349020  0.017  0.005  -0.007  0.000  0.000
0.350020  0.017  0.005  -0.007  0.000  0.000
0.351020  0.017  0.005  -0.007  0.000  0.000
0.352020  0.017  0.005  -0.007  0.000  0.000
0.353020  0.017  0.005  -0.007  0.000  0.000
0.354020  0.017  0.005  -0.007  0.000  0.000
0.355020  0.010  0.005  -0.006  0.000  0.000
0.356020  0.010  0.005  -0.006  0.000  0.000
0.357020  0.010  0.005  -0.006  0.000  0.000
0.358020  0.010  0.005  -0.006  0.000  0.000
0.359020  0.010  0.005  -0.006  0.000  0.000
0.360020  0.010  0.005  -0.006  0.000  0.000
0.361020  0.010  0.005  -0.006  0.000  0.000
0.362020  0.054  0.005  -0.006  0.000  0.000
0.363020  0.054  0.005  -0.006  0.000  0.000
0.364020  0.054  0.005  -0.006  0.000  0.000
0.365020  0.054  0.005  -0.006  0.000  0.000
0.366021  0.054  0.005  -0.006  0.000  0.000
0.367021  0.054  0.005  -0.006  0.000  0.000
0.368021  0.054  0.005  -0.006  0.000  0.000
0.369021  0.043  0.006  -0.005  0.000  0.000
0.370021  0.043  0.006  -0.005  0.000  0.000
0.371021  0.043  0.006  -0.005  0.000  0.000
0.378021  0.043  0.006  -0.005  0.000  0.000
0.379021  0.043  0.006  -0.005  0.000  0.000
0.380021  0.043  0.006  -0.005  0.000  0.000
0.381021  0.043  0.006  -0.005  0.000  0.000
0.382021  0.034  0.006  -0.005  0.000  0.000
0.383021  0.034  0.006  -0.005  0.000  0.000
0.384022  0.034  0.006  -0.005  0.000  0.000
0.385022  0.034  0.006  -0.005  0.000  0.000
0.386022  0.034  0.006  -0.005  0.000  0.000
0.387022  0.034  0.006  -0.005  0.000  0.000
0.388022  0.034  0.006  -0.005  0.000  0.000
0.389022  0.027  0.006  -0.005  0.000  0.000
0.390022  0.027  0.006  -0.005  0.000  0.000
0.391022  0.027  0.006  -0.005  0.000  0.000
0.392022  0.027  0.006  -0.005  0.000  0.000
0.393022  0.027  0.006  -0.005  0.000  0.000
0.394022  0.027  0.006  -0.005  0.000  0.000
0.395022  0.027  0.006  -0.005  0.000  0.000
0.396022  0.022  0.006  -0.005  0.000  0.000
0.397022  0.022  0.006  -0.005  0.000  0.000
0.398022  0.022  0.006  -0.005  0.000  0.000
0.399022  0.022  0.006  -0.005  0.000  0.000
0.400022  0.022  0.006  -0.005  0.000  0.000
0.401023  0.022  0.006  -0.005  0.000  0.000
0.402023  0.022  0.006  -0.005  0.000  0.000
0.403023  0.022  0.007  -0.005  0.000  0.000
0.404023  0.022  0.007  -0.005  0.000  0.000
0.405023  0.022  0.007  -0.005  0.000  0.000
0.406023  0.022  0.007  -0.005  0.000  0.000
0.407023  0.022  0.007  -0.005  0.000  0.000
0.408023  0.022  0.007  -0.005  0.000  0.000
0.409023  0.022  0.007  -0.005  0.000  0.000
0.410023  -0.031  0.006  -0.006  0.000  0.000
0.411023  -0.031  0.006  -0.006  0.000  0.000
0.412023  -0.031  0.006  -0.006  0.000  0.000
0.413023  -0.031  0.006  -0.006  0.000  0.000
0.414023  -0.031  0.006  -0.006  0.000  0.000
0.415023  -0.031  0.006  -0.006  0.000  0.000
0.416023  -0.031  0.006  -0.006  0.000  0.000
0.417023  -0.026  0.006  -0.006  0.000  0.000
0.418023  -0.026  0.006  -0.006  0.000  0.000
0.419024  -0.026  0.006  -0.006  0.000  0.000
0.420024  -0.026  0.006  -0.006  0.000  0.000
0.421024  -0.026  0.006  -0.006  0.000  0.000
0.422024  -0.026  0.006  -0.006  0.000  0.000
0.423024  -0.026  0.006  -0.006  0.000  0.000
0.424024  -0.063  0.006  -0.006  0.000  0.000
0.425024  -0.063  0.006  -0.006  0.000  0.000
0.426024  -0.063  0.006  -0.006  0.000  0.000
0.427024  -0.063  0.006  -0.006  0.000  0.000
0.428024  -0.063  0.006  -0.006  0.000  0.000
0.429024  -0.063  0.006  -0.006  0.000  0.000
0.430024  -0.063  0.006  -0.006  0.000  0.000
0.431024  0.039  0.006  -0.006  0.000  0.000
0.432024  0.039  0.006  -0.006  0.000  0.000
0.433024  0.039  0.006  -0.006  0.000  0.000
0.434024  0.039  0.006  -0.006  0.000  0.000
0.435024  0.039  0.006  -0.006  0.000  0.000
0.436025  0.039  0.006  -0.006  0.000  0.000
0.437025  0.039  0.006  -0.006  0.000  0.000
0.438025  0.036  0.006  -0.005  0.000  0.000
0.439025  0.036  0.006  -0.005  0.000  0.000
0.440025  0.036  0.006  -0.005  0.000  0.000
0.441025  0.036  0.006  -0.005  0.000  0.000
0.442025  0.036  0.006  -0.005  0.000  0.000
0.443025  0.036  0.006  -0.005  0.000  0.000
0.444025  0.036  0.006  -0.005  0.000  0.000
0.445025  -0.068  0.006  -0.006  0.000  0.000
0.446025  -0.068  0.006  -0.006  0.000  0.000
0.447025  -0.068  0.006  -0.006  0.000  0.000
0.448025  -0.068  0.006  -0.006  0.000  0.000
0.449025  -0.068  0.006  -0.006  0.000  0.000
0.450025  -0.068  0.006  -0.006  0.000  0.000
0.451025  -0.068  0.006  -0.006  0.000  0.000
0.452025  0.037  0.006  -0.006  0.000  0.000
0.453025  0.037  0.006  -0.006  0.000  0.000
0.454026  0.037  0.006  -0.006  0.000  0.000
0.455026  0.037  0.006  -0.006  0.000  0.000
