acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
-0.023  0.006  -0.009  0.001  -0.071  0.003  -1.134  0.000  0.000  0.000  0.000  0.000
-0.004  0.011  -0.003  0.002  -0.007  0.019  -1.062  0.000  0.000  0.000  0.000  0.000
-0.014  -0.007  -0.006  -0.003  -0.039  -0.037  -1.117  0.000  0.000  0.000  0.000  0.000
0.004  0.005  -0.001  0.001  0.017  0.002  -0.699  0.000  0.000  0.000  0.000  0.000
-0.003  -0.001  -0.003  -0.001  -0.004  -0.017  -0.519  0.000  0.000  0.000  0.000  0.000
-0.007  -0.001  -0.004  -0.001  -0.016  -0.018  -0.515  0.000  0.000  0.000  0.000  0.000
-0.005  0.005  -0.004  0.001  -0.010  0.003  -0.530  0.000  0.000  0.000  0.000  0.000
-0.017  0.005  -0.008  0.000  -0.049  0.002  -0.977  0.000  0.000  0.000  0.000  0.000
0.000  -0.001  -0.002  -0.001  0.008  -0.016  -0.614  0.000  0.000  0.000  0.000  0.000
0.011  -0.001  0.001  -0.001  0.042  -0.016  0.055  0.000  0.000  0.000  0.000  0.000
0.010  0.005  0.001  0.001  0.037  0.003  0.458  0.000  0.000  0.000  0.000  0.000
0.000  -0.006  -0.002  -0.003  0.005  -0.034  0.574  0.000  0.000  0.000  0.000  0.000
0.005  0.005  -0.000  0.001  0.021  0.005  0.684  0.000  0.000  0.000  0.000  0.000
-0.004  -0.000  -0.003  -0.001  -0.010  -0.014  0.502  0.000  0.000  0.000  0.000  0.000
0.003  0.005  -0.001  0.001  0.014  0.005  0.548  0.000  0.000  0.000  0.000  0.000
0.021  0.010  0.004  0.002  0.070  0.020  1.148  0.000  0.000  0.000  0.000  0.000
0.009  -0.012  0.001  -0.005  0.032  -0.051  1.501  0.000  0.000  0.000  0.000  0.000
0.010  0.011  0.001  0.002  0.034  0.023  1.486  0.000  0.000  0.000  0.000  0.000
0.017  -0.013  0.003  -0.005  0.054  -0.052  2.030  0.000  0.000  0.000  0.000  0.000
0.018  0.005  0.004  0.001  0.056  0.007  2.225  0.000  0.000  0.000  0.000  0.000
0.020  -0.001  0.005  -0.001  0.062  -0.013  2.531  0.000  0.000  0.000  0.000  0.000
0.024  -0.000  0.006  -0.001  0.072  -0.011  2.876  0.000  0.000  0.000  0.000  0.000
0.020  0.006  0.005  0.001  0.059  0.008  2.929  0.000  0.000  0.000  0.000  0.000
0.024  -0.006  0.007  -0.003  0.070  -0.029  3.253  0.000  0.000  0.000  0.000  0.000
0.040  0.011  0.012  0.003  0.118  0.027  3.819  0.000  0.000  0.000  0.000  0.000
0.027  -0.006  0.008  -0.003  0.076  -0.030  4.036  0.000  0.000  0.000  0.000  0.000
0.028  -0.000  0.009  -0.001  0.076  -0.011  4.133  0.000  0.000  0.000  0.000  0.000
0.009  0.011  0.003  0.003  0.014  0.026  3.353  0.000  0.000  0.000  0.000  0.000
-0.008  0.005  -0.002  0.001  -0.041  0.006  2.199  0.000  0.000  0.000  0.000  0.000
-0.001  0.005  -0.000  0.001  -0.019  0.006  1.528  0.000  0.000  0.000  0.000  0.000
-0.014  0.005  -0.004  0.001  -0.059  0.005  0.544  0.000  0.000  0.000  0.000  0.000
-0.005  -0.001  -0.002  -0.001  -0.028  -0.014  0.192  0.000  0.000  0.000  0.000  0.000
-0.016  0.005  -0.005  0.001  -0.064  0.004  -0.571  0.000  0.000  0.000  0.000  0.000
-0.020  0.010  -0.006  0.003  -0.074  0.023  -1.378  0.000  0.000  0.000  0.000  0.000
-0.021  0.004  -0.007  0.001  -0.075  0.002  -1.941  0.000  0.000  0.000  0.000  0.000
-0.013  -0.002  -0.005  -0.001  -0.048  -0.017  -1.997  0.000  0.000  0.000  0.000  0.000
-0.002  -0.001  -0.001  -0.001  -0.012  -0.015  -1.658  0.000  0.000  0.000  0.000  0.000
0.003  0.004  0.000  0.001  0.003  0.003  -1.291  0.000  0.000  0.000  0.000  0.000
0.001  -0.002  -0.001  -0.001  -0.004  -0.016  -0.994  0.000  0.000  0.000  0.000  0.000
0.011  0.005  0.003  0.001  0.030  0.005  -0.461  0.000  0.000  0.000  0.000  0.000
0.023  0.004  0.006  0.001  0.066  0.003  0.372  0.000  0.000  0.000  0.000  0.000
0.015  0.003  0.004  0.001  0.041  0.001  0.776  0.000  0.000  0.000  0.000  0.000
0.032  0.010  0.010  0.003  0.092  0.021  1.584  0.000  0.000  0.000  0.000  0.000
0.028  -0.009  0.009  -0.003  0.077  -0.038  2.314  0.000  0.000  0.000  0.000  0.000
0.016  0.003  0.005  0.001  0.039  0.001  2.295  0.000  0.000  0.000  0.000  0.000
0.015  0.003  0.005  0.001  0.034  0.001  2.232  0.000  0.000  0.000  0.000  0.000
0.017  0.003  0.006  0.001  0.038  0.001  2.228  0.000  0.000  0.000  0.000  0.000
0.005  0.003  0.002  0.001  -0.001  -0.001  1.788  0.000  0.000  0.000  0.000  0.000
0.004  -0.002  0.002  -0.001  -0.005  -0.016  1.464  0.000  0.000  0.000  0.000  0.000
0.015  0.008  0.005  0.002  0.030  0.018  1.454  0.000  0.000  0.000  0.000  0.000
0.003  -0.003  0.002  -0.001  -0.007  -0.019  1.191  0.000  0.000  0.000  0.000  0.000
0.007  0.009  0.003  0.002  0.007  0.018  0.968  0.000  0.000  0.000  0.000  0.000
0.002  0.002  0.001  0.000  -0.012  -0.003  0.676  0.000  0.000  0.000  0.000  0.000
0.005  0.002  0.002  0.000  0.000  -0.003  0.577  0.000  0.000  0.000  0.000  0.000
0.003  0.002  0.002  0.001  -0.006  -0.002  0.427  0.000  0.000  0.000  0.000  0.000
0.013  -0.004  0.005  -0.001  0.026  -0.021  0.747  0.000  0.000  0.000  0.000  0.000
-0.004  0.002  -0.000  0.000  -0.029  -0.004  0.308  0.000  0.000  0.000  0.000  0.000
-0.002  0.002  0.000  0.001  -0.023  -0.001  0.013  0.000  0.000  0.000  0.000  0.000
-0.020  0.002  -0.005  0.000  -0.079  -0.003  -0.839  0.000  0.000  0.000  0.000  0.000
-0.021  0.008  -0.006  0.002  -0.082  0.016  -1.646  0.000  0.000  0.000  0.000  0.000
-0.025  0.001  -0.007  0.000  -0.090  -0.005  -2.285  0.000  0.000  0.000  0.000  0.000
-0.027  0.001  -0.008  0.000  -0.097  -0.006  -2.866  0.000  0.000  0.000  0.000  0.000
-0.030  0.007  -0.009  0.002  -0.103  0.013  -3.483  0.000  0.000  0.000  0.000  0.000
-0.029  0.006  -0.009  0.002  -0.096  0.011  -3.886  0.000  0.000  0.000  0.000  0.000
-0.020  0.001  -0.006  0.000  -0.064  -0.006  -3.775  0.000  0.000  0.000  0.000  0.000
-0.016  -0.000  -0.005  -0.000  -0.052  -0.010  -3.534  0.000  0.000  0.000  0.000  0.000
-0.016  -0.005  -0.006  -0.002  -0.050  -0.025  -3.250  0.000  0.000  0.000  0.000  0.000
-0.016  0.001  -0.006  0.000  -0.049  -0.007  -3.092  0.000  0.000  0.000  0.000  0.000
-0.018  0.001  -0.006  0.000  -0.053  -0.005  -3.027  0.000  0.000  0.000  0.000  0.000
-0.013  -0.005  -0.005  -0.001  -0.037  -0.023  -2.715  0.000  0.000  0.000  0.000  0.000
-0.006  0.001  -0.003  0.000  -0.012  -0.005  -2.266  0.000  0.000  0.000  0.000  0.000
-0.005  0.001  -0.003  0.000  -0.009  -0.005  -1.865  0.000  0.000  0.000  0.000  0.000
-0.023  -0.010  -0.008  -0.003  -0.068  -0.039  -2.066  0.000  0.000  0.000  0.000  0.000
-0.009  0.001  -0.004  0.000  -0.021  -0.002  -1.857  0.000  0.000  0.000  0.000  0.000
-0.002  -0.004  -0.002  -0.001  0.003  -0.019  -1.351  0.000  0.000  0.000  0.000  0.000
-0.002  0.002  -0.002  0.000  0.003  -0.000  -1.027  0.000  0.000  0.000  0.000  0.000
-0.008  0.002  -0.004  0.001  -0.016  0.001  -0.995  0.000  0.000  0.000  0.000  0.000
-0.001  0.001  -0.002  0.000  0.005  -0.001  -0.723  0.000  0.000  0.000  0.000  0.000
0.005  -0.004  0.000  -0.001  0.025  -0.019  -0.198  0.000  0.000  0.000  0.000  0.000
-0.003  0.008  -0.002  0.002  0.000  0.019  -0.226  0.000  0.000  0.000  0.000  0.000
0.016  0.007  0.004  0.002  0.061  0.018  0.443  0.000  0.000  0.000  0.000  0.000
