vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.891  -0.000  0.000  0.000  0.000  0.000
0.879  -0.000  0.000  0.000  0.000  0.000
0.845  -0.000  0.000  0.000  0.000  0.000
0.631  -0.000  0.000  0.000  0.000  0.000
0.470  -0.000  0.000  0.000  0.000  0.000
0.248  -0.000  0.000  0.000  0.000  0.000
0.022  -0.000  0.000  0.000  0.000  0.000
0.094  -0.000  0.000  0.000  0.000  0.000
0.196  -0.000  0.000  0.000  0.000  0.000
0.213  -0.000  0.000  0.000  0.000  0.000
0.153  -0.000  0.000  0.000  0.000  0.000
0.125  -0.000  0.000  0.000  0.000  0.000
0.075  -0.000  0.000  0.000  0.000  0.000
-0.024  -0.000  0.000  0.000  0.000  0.000
-0.111  -0.000  0.000  0.000  0.000  0.000
-0.144  -0.000  0.000  0.000  0.000  0.000
-0.164  -0.000  0.000  0.000  0.000  0.000
-0.179  -0.000  0.000  0.000  0.000  0.000
-0.171  -0.000  0.000  0.000  0.000  0.000
-0.179  -0.000  0.000  0.000  0.000  0.000
-0.185  -0.000  0.000  0.000  0.000  0.000
-0.173  -0.000  0.000  0.000  0.000  0.000
-0.160  -0.000  0.000  0.000  0.000  0.000
-0.143  -0.000  0.000  0.000  0.000  0.000
-0.134  -0.000  0.000  0.000  0.000  0.000
-0.130  -0.000  0.000  0.000  0.000  0.000
-0.132  -0.000  0.000  0.000  0.000  0.000
-0.139  -0.000  0.000  0.000  0.000  0.000
-0.149  -0.000  0.000  0.000  0.000  0.000
-0.165  -0.000  0.000  0.000  0.000  0.000
-0.172  -0.000  0.000  0.000  0.000  0.000
-0.177  -0.000  0.000  0.000  0.000  0.000
-0.181  -0.000  0.000  0.000  0.000  0.000
-0.173  -0.000  0.000  0.000  0.000  0.000
-0.185  -0.000  0.000  0.000  0.000  0.000
-0.199  -0.000  0.000  0.000  0.000  0.000
-0.193  -0.000  0.000  0.000  0.000  0.000
-0.178  -0.000  0.000  0.000  0.000  0.000
-0.147  -0.000  0.000  0.000  0.000  0.000
-0.106  -0.000  0.000  0.000  0.000  0.000
-0.091  -0.000  0.000  0.000  0.000  0.000
-0.066  -0.000  0.000  0.000  0.000  0.000
-0.030  -0.000  0.000  0.000  0.000  0.000
-0.006  -0.000  0.000  0.000  0.000  0.000
0.008  -0.000  0.000  0.000  0.000  0.000
0.035  -0.000  0.000  0.000  0.000  0.000
