SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
-10.844     33   0.000  0.000  0.000  1.108  1.000  4.560  5.790  1.531  0.020  100000
-10.683     31   0.000  0.000  0.000  0.122  1.000  4.560  5.790  1.531  0.020  100000
-11.137     31   0.000  0.000  0.000  -0.091  1.000  4.560  5.790  1.531  0.020  100000
-12.029     31   0.000  0.000  0.000  -0.339  1.000  4.560  5.790  1.531  0.020  100000
-11.945     31   0.000  0.000  0.000  0.079  1.000  4.560  5.790  1.531  0.020  100000
-12.668     30   0.000  0.000  0.000  -0.399  1.000  4.560  5.790  1.531  0.020  100000
-13.223     30   0.000  0.000  0.000  -0.280  1.000  4.560  5.790  1.531  0.020  100000
-13.250     32   0.000  0.000  0.000  -0.186  1.000  4.560  5.790  1.531  0.020  100000
-10.148     31   0.000  0.000  0.000  1.350  1.000  4.560  5.790  1.531  0.020  100000
-11.570     32   0.000  0.000  0.000  -0.427  1.000  4.560  5.790  1.531  0.020  100000
-10.541     32   0.000  0.000  0.000  0.514  1.000  4.560  5.790  1.531  0.020  100000
-12.938     31   0.000  0.000  0.000  -0.992  1.000  4.560  5.790  1.531  0.020  100000
-11.713     32   0.000  0.000  0.000  0.491  1.000  4.560  5.790  1.531  0.020  100000
-11.370     32   0.000  0.000  0.000  0.141  1.000  4.560  5.790  1.531  0.020  100000
-12.388     32   0.000  0.000  0.000  -0.493  1.000  4.560  5.790  1.531  0.020  100000
-11.119     31   0.000  0.000  0.000  0.615  1.000  4.560  5.790  1.531  0.020  100000
-11.867     33   0.000  0.000  0.000  -0.334  1.000  4.560  5.790  1.531  0.020  100000
-10.591     33   0.000  0.000  0.000  0.586  1.000  4.560  5.790  1.531  0.020  100000
-11.056     32   0.000  0.000  0.000  -0.089  1.000  4.560  5.790  1.531  0.020  100000
-10.197     32   0.000  0.000  0.000  0.473  1.000  4.560  5.790  1.531  0.020  100000
-11.557     31   0.000  0.000  0.000  -0.502  1.000  4.560  5.790  1.531  0.020  100000
-11.317     31   0.000  0.000  0.000  0.151  1.000  4.560  5.790  1.531  0.020  100000
-11.874     32   0.000  0.000  0.000  -0.242  1.000  4.560  5.790  1.531  0.020  100000
-13.571     34   0.000  0.000  0.000  -0.816  1.000  4.560  5.790  1.531  0.020  100000
-10.606     30   0.000  0.000  0.000  1.182  1.000  4.560  5.790  1.531  0.020  100000
-10.475     34   0.000  0.000  0.000  0.222  1.000  4.560  5.790  1.531  0.020  100000
-11.626     32   0.000  0.000  0.000  -0.462  1.000  4.560  5.790  1.531  0.020  100000
-11.290     32   0.000  0.000  0.000  0.179  1.000  4.560  5.790  1.531  0.020  100000
-12.886     32   0.000  0.000  0.000  -0.730  1.000  4.560  5.790  1.531  0.020  100000
-10.103     33   0.000  0.000  0.000  1.215  1.000  4.560  5.790  1.531  0.020  100000
-9.895     32   0.000  0.000  0.000  0.181  1.000  4.560  5.790  1.531  0.020  100000
-10.620     32   0.000  0.000  0.000  -0.073  1.000  4.560  5.790  1.531  0.020  100000
-10.446     32   0.000  0.000  0.000  0.128  1.000  4.560  5.790  1.531  0.020  100000
-11.284     32   0.000  0.000  0.000  -0.299  1.000  4.560  5.790  1.531  0.020  100000
-11.123     32   0.000  0.000  0.000  0.139  1.000  4.560  5.790  1.531  0.020  100000
-11.703     32   0.000  0.000  0.000  -0.246  1.000  4.560  5.790  1.531  0.020  100000
-10.791     32   0.000  0.000  0.000  0.387  1.000  4.560  5.790  1.531  0.020  100000
-10.839     32   0.000  0.000  0.000  0.082  1.000  4.560  5.790  1.531  0.020  100000
-13.930     33   0.000  0.000  0.000  -1.481  1.000  4.560  5.790  1.531  0.020  100000
-12.915     33   0.000  0.000  0.000  0.313  1.000  4.560  5.790  1.531  0.020  100000
