SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-9.334     -2   0.000  0.000  0.000  -5.050  -0.425  0.664  0.002  -0.002
-3.676      0   0.000  0.000  0.000  1.729  0.423  0.072  0.002  -0.001
-7.772      0   0.000  0.000  0.000  -2.098  -0.518  -0.086  0.000  -0.001
11.910      0   0.000  0.000  0.000  8.253  1.637  -0.070  0.006  -0.001
10.730      2   0.000  0.000  0.000  0.812  -0.092  -0.260  0.010  -0.002
10.289     -1   0.000  0.000  0.000  1.758  -0.678  -1.082  0.009  -0.008
-2.274     -1   0.000  0.000  0.000  -4.539  -0.329  0.665  0.005  -0.008
0.935     -2   0.000  0.000  0.000  1.599  0.439  0.130  0.006  -0.007
-3.959     -3   0.000  0.000  0.000  -1.903  -0.215  0.203  0.005  -0.005
-9.060     -4   0.000  0.000  0.000  -2.749  -0.124  0.481  0.005  -0.002
-3.639     -4   0.000  0.000  0.000  1.575  0.427  0.113  0.006  -0.000
-12.307     -1   0.000  0.000  0.000  -4.097  -1.079  -0.239  0.002  -0.000
4.676      0   0.000  0.000  0.000  6.777  1.156  -0.255  0.005  -0.002
10.232      0   0.000  0.000  0.000  2.876  0.882  0.318  0.011  -0.002
12.325      1   0.000  0.000  0.000  2.219  0.073  -0.387  0.015  -0.003
3.996     -1   0.000  0.000  0.000  -2.616  -0.309  0.269  0.015  -0.002
2.033     -1   0.000  0.000  0.000  -0.325  -0.187  -0.107  0.013  -0.002
-16.654     -1   0.000  0.000  0.000  -8.248  -1.501  0.230  0.005  -0.002
-14.351     -2   0.000  0.000  0.000  -0.541  0.051  0.175  0.001  -0.000
-3.763     -1   0.000  0.000  0.000  3.597  0.539  -0.215  0.002  -0.000
2.812      1   0.000  0.000  0.000  2.732  0.479  -0.084  0.006  -0.001
-2.759      0   0.000  0.000  0.000  -2.194  -0.415  0.051  0.006  -0.001
6.236     -1   0.000  0.000  0.000  3.947  0.727  -0.083  0.009  -0.002
-1.937     -1   0.000  0.000  0.000  -2.692  -0.967  -0.419  0.006  -0.004
-1.897     -4   0.000  0.000  0.000  -0.284  0.484  0.585  0.006  -0.002
-4.879     -3   0.000  0.000  0.000  -1.588  -0.145  0.203  0.006  -0.000
1.748     -1   0.000  0.000  0.000  1.980  1.074  0.710  0.010  0.004
0.066     -1   0.000  0.000  0.000  -0.624  -0.580  -0.468  0.011  0.004
3.576     -2   0.000  0.000  0.000  1.328  0.331  0.069  0.012  0.004
-3.442     -3   0.000  0.000  0.000  -2.750  -0.964  -0.408  0.008  0.002
6.906     -2   0.000  0.000  0.000  5.089  0.046  -1.055  0.006  -0.004
-2.372     -2   0.000  0.000  0.000  -3.723  0.012  0.840  0.005  -0.004
