accBasedController [2021-03-27-21-59-14]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
1.015058  0.011  -0.007  -0.016  -0.182  0.000  0.000
1.018058  0.010  -0.007  -0.187  0.031  0.000  0.000
1.022058  0.010  -0.007  -0.187  0.031  0.000  0.000
1.025058  0.007  -0.004  -0.328  0.270  0.000  0.000
1.028058  0.007  -0.004  -0.328  0.270  0.000  0.000
1.031059  0.007  -0.004  -0.328  0.270  0.000  0.000
1.034059  0.007  -0.003  -0.064  0.153  0.000  0.000
1.037059  0.007  -0.003  -0.064  0.153  0.000  0.000
1.040059  0.006  -0.003  -0.122  0.034  0.000  0.000
1.043059  0.006  -0.003  -0.122  0.034  0.000  0.000
1.046059  0.006  -0.004  0.015  -0.080  0.000  0.000
1.049060  0.006  -0.004  0.015  -0.080  0.000  0.000
1.052060  0.006  -0.004  0.015  -0.080  0.000  0.000
1.055060  0.007  -0.003  0.092  0.004  0.000  0.000
1.059060  0.007  -0.003  0.092  0.004  0.000  0.000
1.063060  0.005  -0.003  -0.260  -0.003  0.000  0.000
1.066061  0.005  -0.003  -0.260  -0.003  0.000  0.000
1.069061  0.006  -0.004  0.148  -0.100  0.000  0.000
1.072061  0.006  -0.004  0.148  -0.100  0.000  0.000
1.075061  0.006  -0.004  0.148  -0.100  0.000  0.000
1.078061  0.008  -0.003  0.248  0.128  0.000  0.000
1.081061  0.008  -0.003  0.248  0.128  0.000  0.000
1.084062  0.010  -0.003  0.282  0.021  0.000  0.000
1.087062  0.010  -0.003  0.282  0.021  0.000  0.000
1.090062  0.009  -0.004  -0.119  -0.133  0.000  0.000
1.093062  0.009  -0.004  -0.119  -0.133  0.000  0.000
1.096062  0.009  -0.004  -0.119  -0.133  0.000  0.000
1.099062  0.009  -0.006  0.019  -0.192  0.000  0.000
1.102063  0.009  -0.006  0.019  -0.192  0.000  0.000
1.105063  0.011  -0.004  0.250  0.214  0.000  0.000
1.108063  0.011  -0.004  0.250  0.214  0.000  0.000
1.111063  0.010  -0.004  -0.141  -0.003  0.000  0.000
1.114063  0.010  -0.004  -0.141  -0.003  0.000  0.000
1.117063  0.010  -0.004  -0.141  -0.003  0.000  0.000
1.120064  0.011  -0.003  0.054  0.147  0.000  0.000
1.123064  0.011  -0.003  0.054  0.147  0.000  0.000
1.126064  0.010  -0.002  -0.012  0.128  0.000  0.000
1.129064  0.010  -0.002  -0.012  0.128  0.000  0.000
1.132064  0.011  -0.002  0.130  -0.026  0.000  0.000
1.135065  0.011  -0.002  0.130  -0.026  0.000  0.000
1.138065  0.011  -0.002  0.130  -0.026  0.000  0.000
1.141065  0.012  -0.003  0.055  -0.062  0.000  0.000
1.144065  0.012  -0.003  0.055  -0.062  0.000  0.000
1.147065  0.011  -0.001  -0.172  0.235  0.000  0.000
1.150065  0.011  -0.001  -0.172  0.235  0.000  0.000
1.154066  0.011  -0.001  0.022  -0.055  0.000  0.000
1.157066  0.011  -0.001  0.022  -0.055  0.000  0.000
1.160066  0.011  -0.001  0.022  -0.055  0.000  0.000
1.163066  0.011  -0.001  0.005  -0.012  0.000  0.000
1.166066  0.011  -0.001  0.005  -0.012  0.000  0.000
1.175067  0.011  -0.001  0.001  -0.003  0.000  0.000
1.179067  0.011  -0.001  0.001  -0.003  0.000  0.000
1.187067  0.011  -0.001  0.000  -0.001  0.000  0.000
1.190068  0.011  -0.001  0.000  -0.001  0.000  0.000
1.193068  0.011  -0.001  0.000  -0.001  0.000  0.000
1.196068  0.011  -0.001  0.000  -0.000  0.000  0.000
1.199068  0.011  -0.001  0.000  -0.000  0.000  0.000
1.202068  0.011  -0.002  0.034  -0.117  0.000  0.000
1.207069  0.011  -0.002  0.034  -0.117  0.000  0.000
1.215069  0.008  -0.004  -0.432  -0.256  0.000  0.000
1.225070  0.008  -0.004  -0.432  -0.256  0.000  0.000
1.230070  0.008  -0.004  -0.432  -0.256  0.000  0.000
1.233070  0.007  -0.006  -0.096  -0.240  0.000  0.000
1.237070  0.007  -0.006  -0.096  -0.240  0.000  0.000
1.244071  0.005  -0.008  -0.180  -0.261  0.000  0.000
1.248071  0.005  -0.008  -0.180  -0.261  0.000  0.000
1.251071  0.007  -0.010  0.157  -0.254  0.000  0.000
1.254071  0.007  -0.010  0.157  -0.254  0.000  0.000
1.257071  0.007  -0.010  0.157  -0.254  0.000  0.000
1.262072  0.006  -0.012  -0.093  -0.191  0.000  0.000
1.265072  0.006  -0.012  -0.093  -0.191  0.000  0.000
1.268072  0.005  -0.013  -0.094  -0.133  0.000  0.000
1.271072  0.005  -0.013  -0.094  -0.133  0.000  0.000
1.274072  0.004  -0.014  -0.187  -0.089  0.000  0.000
1.277073  0.004  -0.014  -0.187  -0.089  0.000  0.000
1.280073  0.004  -0.014  -0.187  -0.089  0.000  0.000
1.284073  0.003  -0.016  -0.092  -0.320  0.000  0.000
1.287073  0.003  -0.016  -0.092  -0.320  0.000  0.000
1.290073  0.003  -0.016  -0.040  0.012  0.000  0.000
1.293074  0.003  -0.016  -0.040  0.012  0.000  0.000
1.296074  0.004  -0.014  0.131  0.251  0.000  0.000
1.299074  0.004  -0.014  0.131  0.251  0.000  0.000
1.302074  0.004  -0.014  0.131  0.251  0.000  0.000
1.305074  0.005  -0.013  0.168  0.061  0.000  0.000
1.309074  0.005  -0.013  0.168  0.061  0.000  0.000
1.312075  0.005  -0.012  -0.007  0.164  0.000  0.000
1.315075  0.005  -0.012  -0.007  0.164  0.000  0.000
1.318075  0.001  -0.009  -0.491  0.344  0.000  0.000
1.321075  0.001  -0.009  -0.491  0.344  0.000  0.000
1.324075  0.001  -0.009  -0.491  0.344  0.000  0.000
1.327075  -0.003  -0.009  -0.438  0.073  0.000  0.000
1.330076  -0.003  -0.009  -0.438  0.073  0.000  0.000
1.333076  -0.005  -0.008  -0.266  0.130  0.000  0.000
1.337076  -0.005  -0.008  -0.266  0.130  0.000  0.000
1.340076  -0.000  -0.006  0.569  0.266  0.000  0.000
1.343076  -0.000  -0.006  0.569  0.266  0.000  0.000
1.346077  -0.000  -0.006  0.569  0.266  0.000  0.000
1.349077  0.002  -0.004  0.309  0.170  0.000  0.000
1.352077  0.002  -0.004  0.309  0.170  0.000  0.000
1.355077  0.006  -0.002  0.474  0.278  0.000  0.000
1.358077  0.006  -0.002  0.474  0.278  0.000  0.000
1.361077  0.007  -0.002  0.041  0.010  0.000  0.000
1.364078  0.007  -0.002  0.041  0.010  0.000  0.000
1.367078  0.007  -0.002  0.041  0.010  0.000  0.000
1.371078  0.005  -0.004  -0.197  -0.196  0.000  0.000
1.374078  0.005  -0.004  -0.197  -0.196  0.000  0.000
1.377078  0.005  -0.004  -0.044  -0.043  0.000  0.000
1.380079  0.005  -0.004  -0.044  -0.043  0.000  0.000
1.383079  0.005  -0.004  -0.010  -0.010  0.000  0.000
